offset,offset_hex,references,call_references,branch_references,first_ref_hex
671349,0xa3e75,21,21,0,0xa19c5
691530,0xa8d4a,9,9,0,0xa8dd9
1395168,0x1549e0,5,4,1,0x154841
1394176,0x154600,4,4,0,0x154734
1395216,0x154a10,4,4,0,0x1548c5
482442,0x75c8a,3,3,0,0x77b3f
717910,0xaf456,3,3,0,0xaff97
1392223,0x153e5f,3,3,0,0x153d0f
671354,0xa3e7a,2,2,0,0x9fa28
690541,0xa896d,2,2,0,0xa8c79
691646,0xa8dbe,2,2,0,0xa8c4d
691779,0xa8e43,2,2,0,0xa8c5a
693115,0xa937b,2,2,0,0xa98ef
700612,0xab0c4,2,2,0,0xab306
724925,0xb0fbd,2,2,0,0xb1523
731304,0xb28a8,2,2,0,0xb315e
742222,0xb534e,2,2,0,0xb59a7
773678,0xbce2e,2,2,0,0xbd5d5
1219208,0x129a88,2,2,0,0x129a62
1392298,0x153eaa,2,2,0,0x153dd5
1393312,0x1542a0,2,1,1,0x154294
1394064,0x154590,2,1,1,0x154584
663789,0xa20ed,1,1,0,0xa1e6e
664898,0xa2542,1,1,0,0xa424f
674641,0xa4b51,1,1,0,0xa48e1
707488,0xacba0,1,1,0,0xaf66d
707558,0xacbe6,1,1,0,0xaf6b7
721657,0xb02f9,1,1,0,0xb086e
725226,0xb10ea,1,1,0,0xb1931
726390,0xb1576,1,1,0,0xb1970
730289,0xb24b1,1,1,0,0xb45ea
730425,0xb2539,1,1,0,0xb3f09
732749,0xb2e4d,1,1,0,0xb39fe
733457,0xb3111,1,1,0,0xb3e0b
1219243,0x129aab,1,1,0,0x129a70
1345936,0x148990,1,1,0,0x148bb6
1360348,0x14c1dc,1,1,0,0x14c1a9
1360462,0x14c24e,1,1,0,0x14c209
1392000,0x153d80,1,1,0,0x153ce3
1392141,0x153e0d,1,1,0,0x153cf8
1392261,0x153e85,1,1,0,0x153e52
1244370,0x12fcd2,153,0,153,0x12f8cd
941042,0xe5bf2,79,0,79,0xe5abb
787479,0xc0417,67,0,67,0xc01a6
72102,0x119a6,39,0,39,0x11399
261643,0x3fe0b,35,0,35,0x3fd56
1671,0x687,34,0,34,0x4a1
