name,offset,classification,cfg_status
___begtext,3,routine_entry,matches
_main_palette_player_colors,16,routine_entry,matches
main_,24,routine_entry,shorter
main2_,87,routine_entry,shorter+unresolved
Screen_Control_,1179,routine_entry,matches+unresolved
_TOGGLE_PAGES_,1917,routine_entry,matches
Set_Refresh_,1927,routine_entry,matches
Get_Auto_Function_,1967,routine_entry,matches
Put_Auto_Function_,1978,routine_entry,matches
Execute_Auto_Function_,1986,routine_entry,matches
Set_Game_Random_Seed_,1994,routine_entry,matches
Check_Command_Line_Parameters_,2022,routine_entry,shorter+unresolved
Get_Value_From_String_,2574,routine_entry,shorter+unresolved
Set_Mox_Alt_Path_,2674,routine_entry,matches
Set_Mox_Language_,3119,routine_entry,matches
Load_Mox_Global_Strings_,3238,routine_entry,matches
Allocate_Data_Space_,3253,routine_entry,matches+unresolved
Load_Game_,3631,routine_entry,matches+unresolved
Save_Game_,5643,routine_entry,shorter+unresolved
Save_Game_Settings_,7140,routine_entry,matches
Load_Game_Settings_,7225,routine_entry,matches
Get_Saved_Game_Descriptions_,7299,routine_entry,matches
Check_Magic_Number_,7684,routine_entry,matches
Get_Star_Date_From_Save_File_,7766,routine_entry,matches
Magic_Number_Ok_,7845,routine_entry,matches
Read_Settings_From_Save_File_,7854,routine_entry,matches
Save_Moo_Custom_Player_Data_,7952,routine_entry,matches
Save_Out_Settings_To_Temp_File_,7953,routine_entry,matches
Get_Game_Type_From_Saved_Game_,8140,routine_entry,matches
Read_Moo_Custom_Player_Data_,8237,routine_entry,matches
Save_Session_Related_Settings_,8240,routine_entry,matches
Copy_Over_Game_Universe_Settings_,8442,routine_entry,shorter
Make_Autosave_File_Name_,8565,routine_entry,matches
Get_Multi_Player_N_Humans_,8688,routine_entry,matches
Update_Game_Settings_Version_Number_,8743,routine_entry,matches+unresolved
Init_Ships_Array_,8808,routine_entry,shorter+unresolved
Make_System_Monsters_Into_Ships_,8908,routine_entry,matches
Set_Initial_Colony_Auto_Selects_,9166,routine_entry,matches
Init_Colonies_Array_,9242,routine_entry,shorter+unresolved
Init_New_Game_,9337,routine_entry,shorter+unresolved
Init_New_Session_,10138,routine_entry,matches
Set_Defaults_,10143,routine_entry,shorter+unresolved
Set_Default_Game_Settings_,10209,routine_entry,shorter+unresolved
Write_Game_Settings_,10551,routine_entry,matches
Init_Players_,10627,routine_entry,shorter+unresolved
Init_Colony_,11637,routine_entry,shorter+unresolved
Test_Create_Ship_,11784,routine_entry,shorter+unresolved
Init_Officers_,12414,routine_entry,matches
Init_Leaders_,12415,routine_entry,matches
Load_Pictures_,12660,routine_entry,matches
Load_Main_Screen_Pictures_,12738,routine_entry,shorter+unresolved
Load_Player_Special_Names_,13906,routine_entry,shorter+unresolved
Next_Turn_Calc_,14003,routine_entry,matches
Do_Autosave_,14370,routine_entry,matches
Next_Turn_,14448,routine_entry,shorter+unresolved
Get_Winner_,14824,routine_entry,shorter
Init_Homeworld_Colony2_,14909,routine_entry,shorter+unresolved
Init_Homeworld_Colony_,16295,routine_entry,matches
Init_Advanced_Civilization_Fleet_,16311,routine_entry,matches
Init_Non_Homeworld_Colony_,16312,routine_entry,shorter
Add_Building_,16345,routine_entry,matches+unresolved
Remove_Building_,17898,routine_entry,shorter+unresolved
Mox_Play_Sound_,18391,routine_entry,matches
Calc_Ship_Level_,18407,routine_entry,shorter+unresolved
Do_Academy_At_Location_Check_,18554,routine_entry,matches
Best_Instructor_Bonus_,18709,routine_entry,matches
Do_XP_For_Ship_,18901,routine_entry,matches
Do_All_Ships_XP_Check_,18983,routine_entry,matches
_rifles,19080,routine_entry,matches
_personal_shields,19098,routine_entry,matches
_planetary_shields,19104,routine_entry,matches
Main_Antaran_Room_Screen_,19116,routine_entry,matches
Draw_Main_Antaran_Room_Screen_,19453,routine_entry,matches
Reload_Main_Antaran_Room_Screen_,19587,routine_entry,matches
Get_Antaran_Room_Message_,19836,routine_entry,shorter+unresolved
Check_Show_Main_Antaran_Room_Screen_,19937,routine_entry,matches
Play_Cinematic_,19959,routine_entry,shorter+unresolved
Smack_Fade_,20613,routine_entry,matches
Draw_Smack_Screen_,20709,routine_entry,matches
Race_Customization_,20731,routine_entry,shorter+unresolved
Main_Council_Screen_,21049,routine_entry,shorter+unresolved
Control_Main_Council_Screen_,21408,routine_entry,matches
Draw_Main_Council_Screen_,21537,routine_entry,shorter+unresolved
Reload_Main_Council_Screen_,22228,routine_entry,shorter+unresolved
Calc_Council_Vote_,23440,routine_entry,shorter+unresolved
Get_Council_Message_,23529,routine_entry,shorter+unresolved
Next_Council_State_,23984,routine_entry,shorter
Council_Finished_Voting_,24056,routine_entry,matches+unresolved
Council_Votes_,24252,routine_entry,shorter+unresolved
Vote_Check_,24609,routine_entry,matches+unresolved
Council_Vote_Result_,25060,routine_entry,matches+unresolved
Council_Player_Vote_,25404,routine_entry,shorter+unresolved
Council_Accept_Ruling_,26123,routine_entry,shorter+unresolved
Check_For_Council_Meeting_,26799,routine_entry,matches+unresolved
Load_Council_Text_Messages_,26970,routine_entry,matches
Council_Player_Voted_Winner_,27081,routine_entry,shorter+unresolved
Drive_Council_Player_Voted_Winner_,27199,routine_entry,matches
Draw_Council_Player_Voted_Winner_,27346,routine_entry,shorter+unresolved
Get_Player_Voted_Winner_Message_,27644,routine_entry,shorter+unresolved
Diplomacy_Screen_,27726,routine_entry,shorter+unresolved
Draw_Diplomacy_Screen_,28416,routine_entry,shorter+unresolved
Draw_Diplomacy_Synch_Mode_,28416,routine_entry,shorter+unresolved
Get_Main_Repulsive_Diplomacy_Choices_,29223,routine_entry,shorter+unresolved
Get_Main_Diplomacy_Choices_,30092,routine_entry,matches+unresolved
Diplomacy_Set_Main_Options_,30791,routine_entry,shorter+unresolved
Diplomacy_Declare_War_Resolution_,31220,routine_entry,matches+unresolved
Setup_Back_Page_,31569,routine_entry,shorter+unresolved
Setup_Ambassador_Pic_,31666,routine_entry,matches
Diplomacy_Fade_In_,31751,routine_entry,matches
Draw_Diplomacy_Fade_In_Screen_,32029,routine_entry,shorter
Diplomacy_Propose_Treaty_,32091,routine_entry,shorter
Diplomacy_Break_Treaty_,32980,routine_entry,shorter+unresolved
Diplomacy_Break_Treaty_Resolution_,33545,routine_entry,matches+unresolved
Get_Human_Surrender_Message_,34144,routine_entry,matches
Get_Human_Declare_War_Message_,34198,routine_entry,shorter
Get_Human_Offer_Gift_Message_,34237,routine_entry,shorter
Get_Human_Demand_Message_,34515,routine_entry,matches
Get_Human_Break_Treaty_Message_,34874,routine_entry,matches
Get_Human_Form_Treaty_Message_,35040,routine_entry,matches
Get_Human_Propose_Treaty_Message_,35308,routine_entry,matches
Get_Human_Tech_Exchange_Message_,35479,routine_entry,matches
Get_Human_Tech_Exchange_First_Message_,35554,routine_entry,matches
Get_Human_Tech_Exchange_Accept_Message_,35623,routine_entry,matches
Get_Human_Tech_Exchange_Decline_Message_,35646,routine_entry,shorter
Diplomacy_Demand_,35705,routine_entry,shorter+unresolved
Diplomacy_Offer_Gift_,38085,routine_entry,shorter+unresolved
Diplomacy_Display_Response_,39193,routine_entry,matches
Diplomacy_Determine_Treaty_Proposal_,39319,routine_entry,shorter+unresolved
Diplomacy_Need_Better_Offer_,39800,routine_entry,matches
Get_Diplomacy_Tech_List_,40287,routine_entry,matches
Diplomacy_Generic_List_,40424,routine_entry,matches
Diplomacy_Generic_Exchange_Tech_List_,40742,routine_entry,matches
Diplomacy_Generic_System_List_,41469,routine_entry,shorter+unresolved
Draw_Diplomacy_Generic_System_List_,42029,routine_entry,matches
Get_Diplomacy_Demand_Treaty_List_,42061,routine_entry,matches
Npc_Display_Diplomacy_Messages_,42247,routine_entry,shorter+unresolved
Accepted_Npc_Demand_Resolution_,43966,routine_entry,shorter+unresolved
Get_Non_Player_Proposals_,44050,routine_entry,shorter+unresolved
Npc_Give_Gift_,44725,routine_entry,shorter+unresolved
Show_Sneak_Attack_Message_,44960,routine_entry,matches
Npc_Diplomacy_Screen_,44966,routine_entry,shorter+unresolved
Check_Human_Treaty_Proposal_,45163,routine_entry,matches+unresolved
Get_Human_Treaty_Choice_,45479,routine_entry,shorter+unresolved
Check_Better_Offer_Available_,45914,routine_entry,matches
Get_Human_Demand_Choice_,46005,routine_entry,shorter
Diplomacy_Give_In_To_Demand_,46215,routine_entry,shorter
Get_Human_Demand_Response_,46520,routine_entry,shorter+unresolved
Get_Human_Gift_Response_,46884,routine_entry,matches+unresolved
Get_Human_Tech_Exchange_Choice_,47099,routine_entry,matches
Diplomacy_Load_New_Ambassador_,47233,routine_entry,matches
Diplomacy_Mouse_Init_,47406,routine_entry,shorter+unresolved
Diplomacy_Human_Need_Better_Offer_,48475,routine_entry,matches+unresolved
Check_Surrender_System_,50199,routine_entry,matches
Diplomacy_System_Display_,50297,routine_entry,shorter+unresolved
Draw_Diplomacy_System_Display_,51176,routine_entry,shorter+unresolved
Draw_Diplomacy_System_,51315,routine_entry,matches
Draw_Diplomacy_System_Text_,51417,routine_entry,matches+unresolved
Diplomacy_System_Scan_,51836,routine_entry,matches
Diplomacy_Exchange_Technology_,52045,routine_entry,shorter+unresolved
Get_Diplomacy_Tech_Exchange_Lists_,53169,routine_entry,matches+unresolved
Start_Diplomacy_Music_,53461,routine_entry,matches
Diplomacy_Surrender_,53496,routine_entry,shorter+unresolved
Diplomacy_Offer_Money_,53815,routine_entry,shorter+unresolved
Get_Diplomacy_Statement_,54629,routine_entry,shorter+unresolved
An_,56855,routine_entry,shorter
Get_Net_Diplomacy_Choices_,57080,routine_entry,shorter+unresolved
Diplomacy_Net_Switcheroo_,60695,routine_entry,shorter+unresolved
Diplomacy_Initial_Synch_Up_,60828,routine_entry,shorter+unresolved
Diplomacy_Listen_Mode_,60905,routine_entry,matches+unresolved
Diplomacy_Chat_,61275,routine_entry,shorter+unresolved
Draw_Diplomacy_Listen_Mode_,61628,routine_entry,matches
Diplomacy_Synch_Mode_,61743,routine_entry,shorter+unresolved
Start_Net_Treaty_,61821,routine_entry,matches
Diplomacy_Receive_Message_,62000,routine_entry,matches+unresolved
Get_Listen_Mode_Message_,62283,routine_entry,shorter+unresolved
Load_Diplomacy_Text_Messages_,62332,routine_entry,matches
Setup_Diplomacy_Help_,64531,routine_entry,shorter+unresolved
Setup_Full_Screen_Diplomacy_Help_,64774,routine_entry,matches+unresolved
Set_Opportunity_Attacks_,64896,routine_entry,shorter+unresolved
Add_Diplomacy_Turn_Summary_Messages_,65269,routine_entry,matches+unresolved
Resolve_Delayed_Diplomacy_Orders_,65517,routine_entry,matches+unresolved
Diplomacy_Main_Net_Chat_,65731,routine_entry,matches
Diplomacy_Message_Is_Interactive_,65890,routine_entry,matches
Init_Events_,65956,routine_entry,shorter+unresolved
Reset_Events_,66041,routine_entry,matches
Check_For_Event_Message_,66111,routine_entry,matches
Check_For_Event_,66174,routine_entry,matches
Start_Main_Event_,66333,routine_entry,matches
Load_Event_Picture_,66507,routine_entry,matches
Drive_Event_Screen_,66560,routine_entry,matches
Draw_Event_Screen_,66656,routine_entry,matches
Event_Fade_In_,66872,routine_entry,shorter
Event_Twiddle_,67234,routine_entry,shorter
Setup_Next_Event_,70513,routine_entry,shorter+unresolved
Get_Event_Message_,72557,routine_entry,matches+unresolved
Event_Get_Fleet_Strength_,74301,routine_entry,shorter
Determine_Event_,74506,routine_entry,extends+unresolved
Get_Event_Victim_,77143,routine_entry,extends+unresolved
Get_Antaran_Victim_,77660,routine_entry,matches+unresolved
Player_Has_Bad_Event_,78006,routine_entry,matches+unresolved
Get_Event_Climate_Change_Colony_,78092,routine_entry,matches
Get_Event_Industrial_Accident_Colony_,78260,routine_entry,matches
Get_Event_Mineral_Depletion_Colony_,78430,routine_entry,matches
Get_Event_Mineral_Deposit_Colony_,78523,routine_entry,shorter
Event_Monster_Update_,78636,routine_entry,matches
Event_Race_Eliminated_,78763,routine_entry,matches
Event_Orion_Discovered_,78776,routine_entry,matches
Event_Defeat_Antarans_,78789,routine_entry,matches
Event_Surrender_,78802,routine_entry,matches
Event_Rebel_Assimilation_,78822,routine_entry,matches
Event_Check_Hyperspace_Flux_,78842,routine_entry,matches
Event_Check_Space_Anomaly_,78878,routine_entry,matches
Event_Check_Pirate_Activity_,78958,routine_entry,matches
Event_Check_Plague_,79032,routine_entry,matches
Event_Check_Warp_Beast_,79077,routine_entry,matches
Event_Check_Population_Boom_,79113,routine_entry,matches
Event_Check_Comet_,79158,routine_entry,matches
Event_Check_Planet_Warning_,79203,routine_entry,shorter+unresolved
Event_Check_General_Status_,79679,routine_entry,matches+unresolved
Allocate_Comet_Hit_,79744,routine_entry,shorter+unresolved
Allocate_Industrial_Accident_Hit_,79923,routine_entry,matches
Allocate_Earthquake_Hit_,80040,routine_entry,matches
Find_Nearest_Player_Colony_to_Ship_,80264,routine_entry,matches
Colony_To_Ship_Dist2_,80360,routine_entry,matches
