name,start,provisional_end,size,instruction,opcode,target,direction,delta,target_owner,target_owner_start,target_relation,classification
main_,24,87,63,24,jmp,87,after,0,main2_,87,entry,near_successor_boundary
main2_,87,1179,1092,1007,jmp,6,before,81,___begtext,3,interior,shared_epilogue_or_tail
Set_Refresh_,1927,1967,40,1934,je,1133413,after,1131446,Set_Refresh_Full_,1133413,entry,cross_function_conditional
Set_Game_Random_Seed_,1994,2022,28,2006,je,1132664,after,1130642,Randomize_,1132664,entry,cross_function_conditional
Check_Command_Line_Parameters_,2022,2574,552,2569,jmp,991,before,1031,main2_,87,interior,shared_epilogue_or_tail
Save_Game_,5643,7140,1497,5860,jmp,5630,before,13,Load_Game_,3631,interior,near_predecessor_epilogue
Get_Saved_Game_Descriptions_,7299,7684,385,7679,jmp,5637,before,1662,Load_Game_,3631,interior,shared_epilogue_or_tail
Get_Star_Date_From_Save_File_,7766,7845,79,7843,jmp,7760,before,6,Check_Magic_Number_,7684,interior,near_predecessor_epilogue
Save_Out_Settings_To_Temp_File_,7953,8140,187,8135,jmp,7947,before,6,Read_Settings_From_Save_File_,7854,interior,near_predecessor_epilogue
Get_Game_Type_From_Saved_Game_,8140,8237,97,8191,je,7757,before,383,Check_Magic_Number_,7684,interior,cross_function_conditional
Save_Session_Related_Settings_,8240,8442,202,8437,jmp,5636,before,2604,Load_Game_,3631,interior,shared_epilogue_or_tail
Init_Players_,10627,11637,1010,11632,jmp,9159,before,1468,Make_System_Monsters_Into_Ships_,8908,interior,shared_epilogue_or_tail
Init_Leaders_,12415,12660,245,12655,jmp,9159,before,3256,Make_System_Monsters_Into_Ships_,8908,interior,shared_epilogue_or_tail
Init_Non_Homeworld_Colony_,16312,16345,33,16319,jmp,16305,before,7,Init_Homeworld_Colony_,16295,interior,near_predecessor_epilogue
Remove_Building_,17898,18391,493,17966,jb,17892,before,6,Add_Building_,16345,interior,near_predecessor_epilogue
Mox_Play_Sound_,18391,18407,16,18398,jne,1057689,after,1039282,Play_Sound_,1057689,entry,cross_function_conditional
Do_Academy_At_Location_Check_,18554,18709,155,18583,jne,18548,before,6,Calc_Ship_Level_,18407,interior,near_predecessor_epilogue
Control_Main_Council_Screen_,21408,21537,129,21532,jmp,22222,after,685,Draw_Main_Council_Screen_,21537,interior,shared_epilogue_or_tail
Reload_Main_Council_Screen_,22228,23440,1212,23435,jmp,22222,before,6,Draw_Main_Council_Screen_,21537,interior,near_predecessor_epilogue
Get_Council_Message_,23529,23984,455,23545,ja,22221,before,1308,Draw_Main_Council_Screen_,21537,interior,cross_function_conditional
Council_Votes_,24252,24609,357,24604,jmp,22222,before,2030,Draw_Main_Council_Screen_,21537,interior,shared_epilogue_or_tail
Drive_Council_Player_Voted_Winner_,27199,27346,147,27260,jne,25400,before,1799,Council_Vote_Result_,25060,interior,cross_function_conditional
Get_Main_Diplomacy_Choices_,30092,30791,699,30786,jmp,29188,before,904,Draw_Diplomacy_Synch_Mode_,28416,interior,shared_epilogue_or_tail
Diplomacy_Fade_In_,31751,32029,278,31826,je,29189,before,2562,Draw_Diplomacy_Synch_Mode_,28416,interior,cross_function_conditional
Diplomacy_Break_Treaty_,32980,33545,565,33380,ja,32569,before,411,Diplomacy_Propose_Treaty_,32091,interior,cross_function_conditional
Get_Human_Declare_War_Message_,34198,34237,39,34219,jmp,34165,before,33,Get_Human_Surrender_Message_,34144,interior,shared_epilogue_or_tail
Get_Human_Form_Treaty_Message_,35040,35308,268,35303,jmp,84473,after,49165,Get_Text_Message_,84473,entry,tail_call
Get_Human_Tech_Exchange_Accept_Message_,35623,35646,23,35641,jmp,35465,before,158,Get_Human_Propose_Treaty_Message_,35308,interior,shared_epilogue_or_tail
Get_Human_Tech_Exchange_Decline_Message_,35646,35705,59,35664,jmp,35465,before,181,Get_Human_Propose_Treaty_Message_,35308,interior,shared_epilogue_or_tail
Diplomacy_Offer_Gift_,38085,39193,1108,38535,ja,37274,before,811,Diplomacy_Demand_,35705,interior,cross_function_conditional
Get_Diplomacy_Demand_Treaty_List_,42061,42247,186,42242,jmp,40281,before,1780,Diplomacy_Need_Better_Offer_,39800,interior,shared_epilogue_or_tail
Npc_Give_Gift_,44725,44960,235,44791,jmp,32569,before,12156,Diplomacy_Propose_Treaty_,32091,interior,shared_epilogue_or_tail
