name,offset,inferred_end,inferred_size,module_index,kind,cfg_min,cfg_end,reachable_instructions,status,foreign_entry_edges,shared_tail_edges,unresolved_edges
___begtext,3,16,13,133,4,3,16,13,matches,1,0,0
_main_palette_player_colors,16,24,8,0,4,16,24,4,matches,1,0,0
main_,24,87,63,0,4,24,29,1,shorter,1,0,0
main2_,87,1179,1092,1,4,87,124,11,shorter+unresolved,0,0,1
Screen_Control_,1179,1917,738,1,4,1179,1917,15,matches+unresolved,0,0,1
_TOGGLE_PAGES_,1917,1927,10,1,4,1917,1927,2,matches,1,0,0
Set_Refresh_,1927,1967,40,1,4,1916,1967,8,matches,3,0,0
Get_Auto_Function_,1967,1978,11,1,4,1967,1978,5,matches,0,0,0
Put_Auto_Function_,1978,1986,8,1,4,1978,1986,3,matches,0,0,0
Execute_Auto_Function_,1986,1994,8,1,4,1986,1994,4,matches,0,0,0
Set_Game_Random_Seed_,1994,2022,28,1,4,1994,2022,5,matches,2,0,0
Check_Command_Line_Parameters_,2022,2574,552,1,4,2022,2067,13,shorter+unresolved,0,0,1
Get_Value_From_String_,2574,2674,100,1,5,2574,2656,36,shorter+unresolved,0,0,1
Set_Mox_Alt_Path_,2674,3119,445,1,4,2674,3119,134,matches,0,0,0
Set_Mox_Language_,3119,3238,119,1,4,3119,3238,36,matches,0,0,0
Load_Mox_Global_Strings_,3238,3253,15,1,4,3238,3253,3,matches,1,0,0
Allocate_Data_Space_,3253,3631,378,2,4,3253,3631,69,matches+unresolved,0,0,2
Load_Game_,3631,5643,2012,3,4,3631,5643,121,matches+unresolved,0,0,1
Save_Game_,5643,7140,1497,3,4,5643,5914,96,shorter+unresolved,0,1,1
Save_Game_Settings_,7140,7225,85,3,4,7140,7225,33,matches,0,0,0
Load_Game_Settings_,7225,7299,74,3,4,7225,7299,25,matches,0,0,0
Get_Saved_Game_Descriptions_,7299,7684,385,3,4,7299,7684,135,matches,0,1,0
Check_Magic_Number_,7684,7766,82,3,4,7684,7766,30,matches,0,0,0
Get_Star_Date_From_Save_File_,7766,7845,79,3,4,7766,7845,25,matches,0,1,0
Magic_Number_Ok_,7845,7854,9,3,4,7845,7854,3,matches,0,0,0
Read_Settings_From_Save_File_,7854,7952,98,3,4,7854,7952,38,matches,1,0,0
Save_Moo_Custom_Player_Data_,7952,7953,1,3,4,7952,7953,1,matches,0,0,0
Save_Out_Settings_To_Temp_File_,7953,8140,187,3,4,7953,8140,58,matches,0,1,0
Get_Game_Type_From_Saved_Game_,8140,8237,97,3,4,7750,8237,40,matches,0,1,0
Read_Moo_Custom_Player_Data_,8237,8240,3,3,4,8237,8240,2,matches,0,0,0
Save_Session_Related_Settings_,8240,8442,202,3,4,8240,8442,56,matches,0,1,0
Copy_Over_Game_Universe_Settings_,8442,8565,123,3,5,8442,8549,21,shorter,0,0,0
Make_Autosave_File_Name_,8565,8688,123,3,4,8565,8688,43,matches,0,0,0
Get_Multi_Player_N_Humans_,8688,8743,55,3,5,8688,8743,23,matches,0,0,0
Update_Game_Settings_Version_Number_,8743,8808,65,3,4,8743,8808,18,matches+unresolved,0,0,1
Init_Ships_Array_,8808,8908,100,4,5,8808,8834,7,shorter+unresolved,0,0,1
Make_System_Monsters_Into_Ships_,8908,9166,258,4,5,8908,9166,77,matches,0,0,0
Set_Initial_Colony_Auto_Selects_,9166,9242,76,4,5,9166,9242,30,matches,0,0,0
Init_Colonies_Array_,9242,9337,95,4,5,9242,9268,7,shorter+unresolved,0,0,1
Init_New_Game_,9337,10138,801,4,4,9337,9379,13,shorter+unresolved,0,0,1
Init_New_Session_,10138,10143,5,4,4,10138,10143,1,matches,1,0,0
Set_Defaults_,10143,10209,66,4,4,10143,10150,1,shorter+unresolved,0,0,1
