name,offset,inferred_end,inferred_size,module_index,kind
___begtext,3,16,13,133,4
_main_palette_player_colors,16,24,8,0,4
main_,24,87,63,0,4
main2_,87,1179,1092,1,4
Screen_Control_,1179,1917,738,1,4
_TOGGLE_PAGES_,1917,1927,10,1,4
Set_Refresh_,1927,1967,40,1,4
Get_Auto_Function_,1967,1978,11,1,4
Put_Auto_Function_,1978,1986,8,1,4
Execute_Auto_Function_,1986,1994,8,1,4
Set_Game_Random_Seed_,1994,2022,28,1,4
Check_Command_Line_Parameters_,2022,2574,552,1,4
Get_Value_From_String_,2574,2674,100,1,5
Set_Mox_Alt_Path_,2674,3119,445,1,4
Set_Mox_Language_,3119,3238,119,1,4
Load_Mox_Global_Strings_,3238,3253,15,1,4
Allocate_Data_Space_,3253,3631,378,2,4
Load_Game_,3631,5643,2012,3,4
Save_Game_,5643,7140,1497,3,4
Save_Game_Settings_,7140,7225,85,3,4
Load_Game_Settings_,7225,7299,74,3,4
Get_Saved_Game_Descriptions_,7299,7684,385,3,4
Check_Magic_Number_,7684,7766,82,3,4
Get_Star_Date_From_Save_File_,7766,7845,79,3,4
Magic_Number_Ok_,7845,7854,9,3,4
Read_Settings_From_Save_File_,7854,7952,98,3,4
Save_Moo_Custom_Player_Data_,7952,7953,1,3,4
Save_Out_Settings_To_Temp_File_,7953,8140,187,3,4
Get_Game_Type_From_Saved_Game_,8140,8237,97,3,4
Read_Moo_Custom_Player_Data_,8237,8240,3,3,4
Save_Session_Related_Settings_,8240,8442,202,3,4
Copy_Over_Game_Universe_Settings_,8442,8565,123,3,5
Make_Autosave_File_Name_,8565,8688,123,3,4
Get_Multi_Player_N_Humans_,8688,8743,55,3,5
Update_Game_Settings_Version_Number_,8743,8808,65,3,4
Init_Ships_Array_,8808,8908,100,4,5
Make_System_Monsters_Into_Ships_,8908,9166,258,4,5
Set_Initial_Colony_Auto_Selects_,9166,9242,76,4,5
Init_Colonies_Array_,9242,9337,95,4,5
Init_New_Game_,9337,10138,801,4,4
Init_New_Session_,10138,10143,5,4,4
Set_Defaults_,10143,10209,66,4,4
Set_Default_Game_Settings_,10209,10551,342,4,4
Write_Game_Settings_,10551,10627,76,4,4
Init_Players_,10627,11637,1010,4,4
Init_Colony_,11637,11784,147,4,4
Test_Create_Ship_,11784,12414,630,4,4
Init_Officers_,12414,12415,1,4,4
Init_Leaders_,12415,12660,245,4,4
Load_Pictures_,12660,12738,78,5,4
Load_Main_Screen_Pictures_,12738,13906,1168,5,5
Load_Player_Special_Names_,13906,14003,97,5,4
Next_Turn_Calc_,14003,14370,367,6,4
Do_Autosave_,14370,14448,78,6,4
Next_Turn_,14448,14824,376,6,4
Get_Winner_,14824,14909,85,6,5
Init_Homeworld_Colony2_,14909,16295,1386,7,4
