caller_module_index,caller_module,caller,callee_module_index,callee_module,callee,call_sites
1,L:\MOX\MOX2.C,Check_Command_Line_Parameters_,1,L:\MOX\MOX2.C,Get_Value_From_String_,3
1,L:\MOX\MOX2.C,Check_Command_Line_Parameters_,3,L:\MOX\FILEDEF.C,Load_Game_,1
1,L:\MOX\MOX2.C,Check_Command_Line_Parameters_,3,L:\MOX\FILEDEF.C,Save_Out_Settings_To_Temp_File_,1
1,L:\MOX\MOX2.C,Load_Mox_Global_Strings_,48,D:\MOX\OTHERS\HAROLD.C,Load_H_Strings_,1
1,L:\MOX\MOX2.C,Load_Mox_Global_Strings_,117,D:\MOX\OTHERS\RUSS.C,Load_Russ_Strings_,1
1,L:\MOX\MOX2.C,Screen_Control_,4,L:\MOX\INITGAME.C,Init_New_Game_,1
1,L:\MOX\MOX2.C,Screen_Control_,6,L:\MOX\NEXTTURN.C,Next_Turn_,1
1,L:\MOX\MOX2.C,Screen_Control_,36,D:\MOX\OTHERS\HOTPOP.C,Hotseat_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,41,D:\MOX\OTHERS\DESIGN.C,Design_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,44,D:\MOX\OTHERS\FLT1.C,Fleet_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,48,D:\MOX\OTHERS\HAROLD.C,Planet_Data_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,50,D:\MOX\OTHERS\LOADSAVE.C,_Game_Popup_,1
1,L:\MOX\MOX2.C,Screen_Control_,51,D:\MOX\OTHERS\MAINMENU.C,Main_Menu_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,52,D:\MOX\OTHERS\MAINSCR.C,Main_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Building_Outposts_In_Main_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Distance_Between_Stars_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Planet_Colonization_In_Main_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Reports_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Scrap_Freighters_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Show_Command_Points_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,53,D:\MOX\OTHERS\MAINSCR2.C,Unloading_Transports_In_Main_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,58,D:\MOX\OTHERS\OFFICER.C,Officers_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,59,D:\MOX\OTHERS\PLNTSUM.C,Planet_Summary_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,60,D:\MOX\OTHERS\SCORE.C,Hall_Of_Fame_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,68,D:\MOX\OTHERS\COLBLDG.C,Build_Queue_Popup_,1
1,L:\MOX\MOX2.C,Screen_Control_,72,D:\MOX\OTHERS\COLLAND.C,Colony_Landing_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,74,D:\MOX\OTHERS\COLONY.C,Colony_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,76,D:\MOX\OTHERS\COLSUM.C,Colony_Summary_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,84,D:\MOX\OTHERS\NEWGAME.C,Newgame_Screen_,2
1,L:\MOX\MOX2.C,Screen_Control_,111,D:\MOX\OTHERS\MULTPLAY.C,Hotseat_Select_Player_,1
1,L:\MOX\MOX2.C,Screen_Control_,111,D:\MOX\OTHERS\MULTPLAY.C,Multi_Player_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,113,D:\MOX\OTHERS\NETSTART.C,Join_Net_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,113,D:\MOX\OTHERS\NETSTART.C,Load_Net_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,113,D:\MOX\OTHERS\NETSTART.C,Start_Net_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,114,D:\MOX\OTHERS\NETTURN.C,Net_Next_Turn_,1
1,L:\MOX\MOX2.C,Screen_Control_,125,D:\MOX\INFO.C,Info_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,128,D:\MOX\RACESCRN.C,Race_Screen_,1
1,L:\MOX\MOX2.C,Screen_Control_,130,D:\MOX\TECH.C,Tech_Change_,1
1,L:\MOX\MOX2.C,Screen_Control_,131,D:\MOX\TURNSUM.C,Turn_Summary_Popup_,1
1,L:\MOX\MOX2.C,_TOGGLE_PAGES_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,1
1,L:\MOX\MOX2.C,main2_,1,L:\MOX\MOX2.C,Check_Command_Line_Parameters_,1
1,L:\MOX\MOX2.C,main2_,1,L:\MOX\MOX2.C,Screen_Control_,1
1,L:\MOX\MOX2.C,main2_,1,L:\MOX\MOX2.C,Set_Mox_Alt_Path_,1
1,L:\MOX\MOX2.C,main2_,1,L:\MOX\MOX2.C,Set_Mox_Language_,1
1,L:\MOX\MOX2.C,main2_,2,L:\MOX\ALLOC.C,Allocate_Data_Space_,1
1,L:\MOX\MOX2.C,main2_,3,L:\MOX\FILEDEF.C,Load_Game_,1
1,L:\MOX\MOX2.C,main2_,3,L:\MOX\FILEDEF.C,Load_Game_Settings_,1
1,L:\MOX\MOX2.C,main2_,3,L:\MOX\FILEDEF.C,Read_Moo_Custom_Player_Data_,1
1,L:\MOX\MOX2.C,main2_,3,L:\MOX\FILEDEF.C,Update_Game_Settings_Version_Number_,1
1,L:\MOX\MOX2.C,main2_,4,L:\MOX\INITGAME.C,Init_New_Game_,1
1,L:\MOX\MOX2.C,main2_,4,L:\MOX\INITGAME.C,Set_Default_Game_Settings_,1
1,L:\MOX\MOX2.C,main2_,5,L:\MOX\LOADER.C,Load_Pictures_,1
1,L:\MOX\MOX2.C,main2_,16,D:\MOX\JIM.C,Draw_Logos_,1
1,L:\MOX\MOX2.C,main2_,16,D:\MOX\JIM.C,Play_Background_Music_,1
1,L:\MOX\MOX2.C,main2_,29,D:\MOX\OTHERS\KEN.C,Ken_Init_,1
1,L:\MOX\MOX2.C,main2_,48,D:\MOX\OTHERS\HAROLD.C,Get_Font_File_,1
1,L:\MOX\MOX2.C,main2_,48,D:\MOX\OTHERS\HAROLD.C,Load_H_Strings_,1
1,L:\MOX\MOX2.C,main2_,48,D:\MOX\OTHERS\HAROLD.C,Set_Sound_Volume_To_Settings_,1
1,L:\MOX\MOX2.C,main2_,55,D:\MOX\OTHERS\MISC.C,Font_Colors2_,1
1,L:\MOX\MOX2.C,main2_,88,D:\MOX\OTHERS\ESTRINGS.C,Load_E_Strings_,1
1,L:\MOX\MOX2.C,main2_,117,D:\MOX\OTHERS\RUSS.C,Load_Russ_Strings_,1
1,L:\MOX\MOX2.C,main2_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,4
3,L:\MOX\FILEDEF.C,Get_Saved_Game_Descriptions_,48,D:\MOX\OTHERS\HAROLD.C,H_Message_,2
3,L:\MOX\FILEDEF.C,Load_Game_,4,L:\MOX\INITGAME.C,Set_Defaults_,1
3,L:\MOX\FILEDEF.C,Load_Game_,39,D:\MOX\OTHERS\ASSERT.C,hgetch_,1
3,L:\MOX\FILEDEF.C,Load_Game_,43,D:\MOX\OTHERS\FLEETPOP.C,Reload_Fleet_Box_Data_,1
3,L:\MOX\FILEDEF.C,Load_Game_,46,D:\MOX\OTHERS\GENDRAW.C,Warning_Box_,1
3,L:\MOX\FILEDEF.C,Load_Game_,48,D:\MOX\OTHERS\HAROLD.C,Confirm_Planet_And_Star_Index_Link_,1
3,L:\MOX\FILEDEF.C,Load_Game_,48,D:\MOX\OTHERS\HAROLD.C,Load_Leader_Titles_,1
3,L:\MOX\FILEDEF.C,Load_Game_,48,D:\MOX\OTHERS\HAROLD.C,Restore_Mouse_List_,1
3,L:\MOX\FILEDEF.C,Load_Game_,48,D:\MOX\OTHERS\HAROLD.C,Save_Mouse_List_,1
3,L:\MOX\FILEDEF.C,Load_Game_,52,D:\MOX\OTHERS\MAINSCR.C,Update_Ship_Icons_In_Between_Turns_,1
3,L:\MOX\FILEDEF.C,Load_Game_,52,D:\MOX\OTHERS\MAINSCR.C,Update_Star_Owners_,1
3,L:\MOX\FILEDEF.C,Load_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Load_Nebula_Pictures_,1
3,L:\MOX\FILEDEF.C,Load_Game_,55,D:\MOX\OTHERS\MISC.C,Increment_Mouse_Clock_Image_,1
3,L:\MOX\FILEDEF.C,Load_Game_,56,D:\MOX\OTHERS\MOVEBOX.C,Moveable_Box_Selected_,1
3,L:\MOX\FILEDEF.C,Load_Game_,102,D:\MOX\OTHERS\COLCALC.C,Rebuild_WFI_List_,1
3,L:\MOX\FILEDEF.C,Load_Game_,117,D:\MOX\OTHERS\RUSS.C,Assert_Settings_,3
3,L:\MOX\FILEDEF.C,Load_Game_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,12
3,L:\MOX\FILEDEF.C,Load_Game_,117,D:\MOX\OTHERS\RUSS.C,PFMT_,1
3,L:\MOX\FILEDEF.C,Load_Game_,117,D:\MOX\OTHERS\RUSS.C,Release_All_Blocks_,1
3,L:\MOX\FILEDEF.C,Load_Game_,122,D:\MOX\BILL.C,Cache_Player_Scientist_Anim_,1
3,L:\MOX\FILEDEF.C,Load_Game_Settings_,48,D:\MOX\OTHERS\HAROLD.C,Set_Sound_Volume_To_Settings_,1
3,L:\MOX\FILEDEF.C,Load_Game_Settings_,117,D:\MOX\OTHERS\RUSS.C,Assert_Settings_,2
3,L:\MOX\FILEDEF.C,Make_Autosave_File_Name_,3,L:\MOX\FILEDEF.C,Get_Multi_Player_N_Humans_,1
3,L:\MOX\FILEDEF.C,Save_Game_,3,L:\MOX\FILEDEF.C,Save_Game_Settings_,1
3,L:\MOX\FILEDEF.C,Save_Game_,46,D:\MOX\OTHERS\GENDRAW.C,Message_Box_,1
3,L:\MOX\FILEDEF.C,Save_Game_,48,D:\MOX\OTHERS\HAROLD.C,Restore_Mouse_List_,1
3,L:\MOX\FILEDEF.C,Save_Game_,48,D:\MOX\OTHERS\HAROLD.C,Save_Mouse_List_,1
3,L:\MOX\FILEDEF.C,Save_Game_,55,D:\MOX\OTHERS\MISC.C,Increment_Mouse_Clock_Image_,1
3,L:\MOX\FILEDEF.C,Save_Game_,117,D:\MOX\OTHERS\RUSS.C,Assert_Settings_,2
3,L:\MOX\FILEDEF.C,Save_Game_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,12
3,L:\MOX\FILEDEF.C,Save_Game_Settings_,117,D:\MOX\OTHERS\RUSS.C,Assert_Settings_,2
3,L:\MOX\FILEDEF.C,Save_Out_Settings_To_Temp_File_,39,D:\MOX\OTHERS\ASSERT.C,hgetch_,1
3,L:\MOX\FILEDEF.C,Save_Out_Settings_To_Temp_File_,117,D:\MOX\OTHERS\RUSS.C,PFMT_,1
3,L:\MOX\FILEDEF.C,Save_Session_Related_Settings_,117,D:\MOX\OTHERS\RUSS.C,Assert_Settings_,2
3,L:\MOX\FILEDEF.C,Update_Game_Settings_Version_Number_,3,L:\MOX\FILEDEF.C,Load_Game_Settings_,1
3,L:\MOX\FILEDEF.C,Update_Game_Settings_Version_Number_,3,L:\MOX\FILEDEF.C,Save_Game_Settings_,1
3,L:\MOX\FILEDEF.C,Update_Game_Settings_Version_Number_,4,L:\MOX\INITGAME.C,Set_Default_Game_Settings_,1
4,L:\MOX\INITGAME.C,Init_Leaders_,48,D:\MOX\OTHERS\HAROLD.C,Get_Officer_Data_LBX_Name_,1
4,L:\MOX\INITGAME.C,Init_Leaders_,58,D:\MOX\OTHERS\OFFICER.C,Get_Random_Skills_,1
4,L:\MOX\INITGAME.C,Init_Leaders_,58,D:\MOX\OTHERS\OFFICER.C,Officer_Skill_Value_,1
4,L:\MOX\INITGAME.C,Init_Leaders_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,1,L:\MOX\MOX2.C,Set_Game_Random_Seed_,2
4,L:\MOX\INITGAME.C,Init_New_Game_,1,L:\MOX\MOX2.C,_TOGGLE_PAGES_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,3,L:\MOX\FILEDEF.C,Save_Game_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,3,L:\MOX\FILEDEF.C,Save_Game_Settings_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,3,L:\MOX\FILEDEF.C,Save_Moo_Custom_Player_Data_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Init_Colonies_Array_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Init_Leaders_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Init_Players_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Init_Ships_Array_,1
