module,incoming_modules,outgoing_modules,incoming_relationships,outgoing_relationships,incoming_call_sites,outgoing_call_sites,total_call_sites
D:\MOX\OTHERS\RUSS.C,63,10,227,11,802,11,813
D:\MOX\OTHERS\HAROLD.C,48,12,374,17,735,20,755
D:\MOX\OTHERS\MAINSCR.C,34,26,128,304,147,485,632
D:\MOX\OTHERS\ESTRINGS.C,21,0,129,0,604,0,604
D:\MOX\OTHERS\COLONY.C,24,30,182,181,257,280,537
D:\MOX\DIP-SCRN.C,6,16,9,225,12,433,445
L:\MOX\MOX2.C,60,33,258,57,370,61,431
D:\MOX\OTHERS\COLCALC.C,44,21,228,86,317,108,425
D:\MOX\OTHERS\COMBINIT.C,11,25,118,104,187,204,391
D:\MOX\OTHERS\MAINPUPS.C,7,22,22,184,24,361,385
D:\MOX\OTHERS\MISC.C,30,5,206,18,362,20,382
D:\MOX\OTHERS\CMBTDRW1.C,12,17,127,88,170,168,338
D:\MOX\JIM.C,17,7,129,14,314,21,335
D:\MOX\OTHERS\OFFICER.C,32,23,105,129,151,179,330
D:\MOX\OTHERS\HACCESS.C,34,5,235,12,285,12,297
D:\MOX\OTHERS\ERIC.C,52,9,191,29,263,32,295
D:\MOX\OTHERS\DESIGN.C,11,15,102,73,151,130,281
D:\MOX\OTHERS\COLBLDG.C,12,20,35,106,54,217,271
D:\MOX\OTHERS\COMBAT1.C,8,13,40,92,52,178,230
D:\MOX\OTHERS\NETMOX.C,15,16,90,52,119,107,226
D:\MOX\OTHERS\COMBFIND.C,6,32,14,132,14,198,212
D:\MOX\OTHERS\MULTPLAY.C,7,16,49,99,65,143,208
D:\MOX\OTHERS\DESBOX.C,1,10,6,124,7,197,204
D:\MOX\OTHERS\CMBTSPEC.C,5,13,22,127,35,168,203
D:\MOX\OTHERS\CMBTFIR2.C,10,16,74,63,97,95,192
D:\MOX\OTHERS\COLSUM.C,2,18,5,83,5,181,186
D:\MOX\DIPLOMAC.C,11,8,94,25,150,32,182
D:\MOX\OTHERS\CMBTFIRE.C,10,13,71,71,84,98,182
D:\MOX\OTHERS\INITSHIP.C,30,4,137,17,148,19,167
D:\MOX\OTHERS\MOVEBOX.C,17,8,93,23,130,25,155
D:\MOX\RACESCRN.C,2,14,3,50,3,151,154
D:\MOX\BILL.C,30,5,108,6,147,6,153
D:\MOX\OTHERS\CMBTAI.C,5,15,22,103,25,125,150
D:\MOX\OTHERS\SHIPS.C,21,12,61,61,74,74,148
D:\MOX\OTHERS\MAINSCR2.C,1,21,7,110,7,137,144
D:\MOX\OTHERS\FLT1.C,3,19,9,94,9,133,142
D:\MOX\OTHERS\KEN.C,22,2,52,3,138,3,141
D:\MOX\OTHERS\NETSTART.C,4,13,10,88,15,125,140
D:\MOX\OTHERS\MAPGEN.C,5,8,26,49,26,113,139
D:\MOX\OTHERS\SYS.C,8,14,33,64,37,102,139
D:\MOX\OTHERS\CMBTMOV1.C,9,13,48,56,73,65,138
D:\MOX\OTHERS\GENDRAW.C,29,7,72,19,110,23,133
D:\MOX\OTHERS\CMBTMIS.C,8,12,53,53,60,70,130
D:\MOX\OTHERS\SHIPMOVE.C,21,9,89,22,105,23,128
L:\MOX\INITGAME.C,8,27,15,64,15,112,127
D:\MOX\OTHERS\LOADSAVE.C,4,12,7,67,7,119,126
D:\MOX\OTHERS\PLNTSUM.C,2,16,2,76,4,118,122
D:\MOX\OTHERS\FLEETPOP.C,5,10,27,69,32,85,117
L:\MOX\ERICNET.C,27,11,58,24,81,34,115
D:\MOX\EVENTS.C,21,15,61,38,65,48,113
D:\MOX\OTHERS\COLMOVE.C,4,9,19,33,19,91,110
D:\MOX\INFO.C,4,11,5,89,5,103,108
D:\MOX\OTHERS\FLT2.C,4,15,23,60,25,82,107
D:\MOX\OTHERS\AIMOVE.C,6,14,8,64,11,95,106
L:\MOX\FILEDEF.C,7,12,36,33,38,62,100
D:\MOX\TECH.C,6,12,12,46,14,84,98
D:\MOX\OTHERS\TEXTBOX.C,23,5,49,22,59,30,89
D:\MOX\OTHERS\REPORT.C,9,25,13,54,17,70,87
D:\MOX\NPCDIPLO.C,3,4,25,32,31,52,83
D:\MOX\OTHERS\COLREFIT.C,1,12,2,49,2,80,82
D:\MOX\OTHERS\COMBAT.C,2,16,6,51,9,68,77
D:\MOX\OTHERS\BEAMS.C,6,9,28,35,30,46,76
D:\MOX\OTHERS\HOMEGEN.C,2,11,7,45,7,69,76
D:\MOX\OTHERS\COLDRAW.C,4,8,24,29,24,51,75
D:\MOX\OTHERS\NEWGAME.C,1,7,1,13,2,71,73
D:\MOX\OTHERS\AIDATA.C,4,9,7,29,8,64,72
D:\MOX\OTHERS\AIBUILD.C,6,9,11,31,12,59,71
D:\MOX\OTHERS\INVASION.C,14,10,29,28,32,37,69
D:\MOX\COUNCIL.C,1,9,1,41,1,67,68
D:\MOX\OTHERS\COLGCBT.C,1,14,2,48,3,65,68
D:\MOX\OTHERS\SCORE.C,4,9,4,35,5,60,65
L:\MOX\NEXTTURN.C,3,34,3,58,3,61,64
D:\MOX\OTHERS\AIDUDES.C,1,6,1,33,1,60,61
D:\MOX\OTHERS\RACEOPT.C,4,7,4,17,5,51,56
D:\MOX\LIST.C,3,1,51,3,51,3,54
