caller_module,callee_module,relationships,call_sites
D:\MOX\DIP-SCRN.C,D:\MOX\JIM.C,52,157
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\HAROLD.C,79,142
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\ESTRINGS.C,29,141
D:\MOX\DIP-SCRN.C,D:\MOX\DIPLOMAC.C,57,97
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\DESIGN.C,60,80
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\ESTRINGS.C,5,79
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\ESTRINGS.C,27,78
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\ESTRINGS.C,20,78
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\MISC.C,35,76
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\RUSS.C,20,72
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\RUSS.C,5,65
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\MOVEBOX.C,37,62
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\HAROLD.C,25,59
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\CMBTDRW1.C,43,57
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\MISC.C,26,57
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\HAROLD.C,14,55
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\RUSS.C,18,53
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\RUSS.C,1,52
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\MISC.C,24,51
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\KEN.C,8,50
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\HACCESS.C,41,49
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\HAROLD.C,21,49
L:\MOX\INITGAME.C,D:\MOX\OTHERS\RUSS.C,4,48
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\HAROLD.C,20,47
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\RUSS.C,13,47
