module_index,module,code_symbols,data_symbols,unknown_symbols,total_symbols
0,L:\MOX\MOX.C,2,733,0,735
1,L:\MOX\MOX2.C,13,7,0,20
2,L:\MOX\ALLOC.C,1,1,0,2
3,L:\MOX\FILEDEF.C,18,0,0,18
4,L:\MOX\INITGAME.C,14,0,0,14
5,L:\MOX\LOADER.C,3,0,0,3
6,L:\MOX\NEXTTURN.C,4,1,0,5
7,L:\MOX\ERICNET.C,12,1,0,13
8,L:\MOX\TECHDATA.C,3,13,0,16
9,D:\MOX\ANTAROOM.C,5,4,0,9
10,D:\MOX\SMACK.C,3,4,0,7
11,D:\MOX\RACECUST.C,1,2,0,3
12,D:\MOX\COUNCIL.C,19,26,0,45
13,D:\MOX\DIPLODEF.C,0,16,0,16
14,D:\MOX\DIP-SCRN.C,84,84,0,168
15,D:\MOX\EVENTS.C,58,13,0,71
16,D:\MOX\JIM.C,27,6,0,33
17,D:\MOX\NPCDIPLO.C,24,2,0,26
18,D:\MOX\OTHERS\CMBTAI.C,42,1,0,43
19,D:\MOX\OTHERS\CMBTDRW1.C,44,6,0,50
20,D:\MOX\OTHERS\CMBTFIR2.C,55,0,0,55
21,D:\MOX\OTHERS\CMBTFIRE.C,29,0,0,29
22,D:\MOX\OTHERS\CMBTMIS.C,31,0,0,31
23,D:\MOX\OTHERS\CMBTMOV1.C,14,0,0,14
24,D:\MOX\OTHERS\COMBAT.C,24,0,0,24
25,D:\MOX\OTHERS\COMBAT1.C,27,2,0,29
26,D:\MOX\OTHERS\COMBINIT.C,35,1,0,36
27,D:\MOX\DIPLOMAC.C,57,10,0,67
28,D:\MOX\OTHERS\INITSHIP.C,68,0,0,68
29,D:\MOX\OTHERS\KEN.C,13,0,0,13
30,D:\MOX\OTHERS\RACEOPT.C,18,19,0,37
31,D:\MOX\OTHERS\RACESEL.C,11,14,0,25
32,D:\MOX\OTHERS\SHIPSTAK.C,14,0,0,14
33,D:\MOX\OTHERS\TECHINIT.C,5,0,0,5
34,D:\MOX\OTHERS\AIPOWER.C,17,0,0,17
35,D:\MOX\OTHERS\AIDESIGN.C,17,13,0,30
36,D:\MOX\OTHERS\HOTPOP.C,5,6,0,11
37,D:\MOX\OTHERS\ADVCIV.C,20,6,0,26
38,D:\MOX\OTHERS\ANTARANS.C,24,5,0,29
39,D:\MOX\OTHERS\ASSERT.C,2,0,0,2
40,D:\MOX\OTHERS\DESBOX.C,56,21,0,77
41,D:\MOX\OTHERS\DESIGN.C,84,13,0,97
42,D:\MOX\OTHERS\EVANHELP.C,25,30,0,55
43,D:\MOX\OTHERS\FLEETPOP.C,47,1,0,48
44,D:\MOX\OTHERS\FLT1.C,35,10,0,45
45,D:\MOX\OTHERS\FLT2.C,33,1,0,34
46,D:\MOX\OTHERS\GENDRAW.C,13,12,0,25
47,D:\MOX\OTHERS\HACCESS.C,82,0,0,82
48,D:\MOX\OTHERS\HAROLD.C,87,9,0,96
