module_index,module,symbol_type,static,name,segment,offset,file_offset
0,L:\MOX\MOX.C,code,False,_main_palette_player_colors,1,16,611940
0,L:\MOX\MOX.C,code,False,main_,1,24,611948
1,L:\MOX\MOX2.C,code,False,main2_,1,87,612011
1,L:\MOX\MOX2.C,code,False,Screen_Control_,1,1179,613103
1,L:\MOX\MOX2.C,code,False,_TOGGLE_PAGES_,1,1917,613841
1,L:\MOX\MOX2.C,code,False,Set_Refresh_,1,1927,613851
1,L:\MOX\MOX2.C,code,False,Get_Auto_Function_,1,1967,613891
1,L:\MOX\MOX2.C,code,False,Put_Auto_Function_,1,1978,613902
1,L:\MOX\MOX2.C,code,False,Execute_Auto_Function_,1,1986,613910
1,L:\MOX\MOX2.C,code,False,Set_Game_Random_Seed_,1,1994,613918
1,L:\MOX\MOX2.C,code,False,Check_Command_Line_Parameters_,1,2022,613946
1,L:\MOX\MOX2.C,code,True,Get_Value_From_String_,1,2574,614498
1,L:\MOX\MOX2.C,code,False,Set_Mox_Alt_Path_,1,2674,614598
1,L:\MOX\MOX2.C,code,False,Set_Mox_Language_,1,3119,615043
1,L:\MOX\MOX2.C,code,False,Load_Mox_Global_Strings_,1,3238,615162
2,L:\MOX\ALLOC.C,code,False,Allocate_Data_Space_,1,3253,615177
3,L:\MOX\FILEDEF.C,code,False,Load_Game_,1,3631,615555
3,L:\MOX\FILEDEF.C,code,False,Save_Game_,1,5643,617567
3,L:\MOX\FILEDEF.C,code,False,Save_Game_Settings_,1,7140,619064
3,L:\MOX\FILEDEF.C,code,False,Load_Game_Settings_,1,7225,619149
3,L:\MOX\FILEDEF.C,code,False,Get_Saved_Game_Descriptions_,1,7299,619223
3,L:\MOX\FILEDEF.C,code,False,Check_Magic_Number_,1,7684,619608
3,L:\MOX\FILEDEF.C,code,False,Get_Star_Date_From_Save_File_,1,7766,619690
3,L:\MOX\FILEDEF.C,code,False,Magic_Number_Ok_,1,7845,619769
3,L:\MOX\FILEDEF.C,code,False,Read_Settings_From_Save_File_,1,7854,619778
3,L:\MOX\FILEDEF.C,code,False,Save_Moo_Custom_Player_Data_,1,7952,619876
3,L:\MOX\FILEDEF.C,code,False,Save_Out_Settings_To_Temp_File_,1,7953,619877
3,L:\MOX\FILEDEF.C,code,False,Get_Game_Type_From_Saved_Game_,1,8140,620064
3,L:\MOX\FILEDEF.C,code,False,Read_Moo_Custom_Player_Data_,1,8237,620161
3,L:\MOX\FILEDEF.C,code,False,Save_Session_Related_Settings_,1,8240,620164
3,L:\MOX\FILEDEF.C,code,True,Copy_Over_Game_Universe_Settings_,1,8442,620366
3,L:\MOX\FILEDEF.C,code,False,Make_Autosave_File_Name_,1,8565,620489
3,L:\MOX\FILEDEF.C,code,True,Get_Multi_Player_N_Humans_,1,8688,620612
3,L:\MOX\FILEDEF.C,code,False,Update_Game_Settings_Version_Number_,1,8743,620667
4,L:\MOX\INITGAME.C,code,True,Init_Ships_Array_,1,8808,620732
4,L:\MOX\INITGAME.C,code,True,Make_System_Monsters_Into_Ships_,1,8908,620832
4,L:\MOX\INITGAME.C,code,True,Set_Initial_Colony_Auto_Selects_,1,9166,621090
4,L:\MOX\INITGAME.C,code,True,Init_Colonies_Array_,1,9242,621166
4,L:\MOX\INITGAME.C,code,False,Init_New_Game_,1,9337,621261
4,L:\MOX\INITGAME.C,code,False,Init_New_Session_,1,10138,622062
4,L:\MOX\INITGAME.C,code,False,Set_Defaults_,1,10143,622067
4,L:\MOX\INITGAME.C,code,False,Set_Default_Game_Settings_,1,10209,622133
4,L:\MOX\INITGAME.C,code,False,Write_Game_Settings_,1,10551,622475
4,L:\MOX\INITGAME.C,code,False,Init_Players_,1,10627,622551
4,L:\MOX\INITGAME.C,code,False,Init_Colony_,1,11637,623561
4,L:\MOX\INITGAME.C,code,False,Test_Create_Ship_,1,11784,623708
