site_offset,site_hex,function,slot_offset,slot_hex,target_offset,target_hex,target
1241847,0x12f2f7,exit_,51784,0xca48,1241843,0x12f2f3,_null_exit_rtn_
1241853,0x12f2fd,exit_,51788,0xca4c,1241843,0x12f2f3,_null_exit_rtn_
1241871,0x12f30f,_exit_,51788,0xca4c,1241843,0x12f2f3,_null_exit_rtn_
1241877,0x12f315,_exit_,51792,0xca50,1241843,0x12f2f3,_null_exit_rtn_
1272461,0x136a8d,float_format_,75080,0x12548,1361282,0x14c582,_no_support_loaded_
1293405,0x13bc5d,SMACKOPEN,75192,0x125b8,1361712,0x14c730,DEFSMACKTIMERSETUP
1301289,0x13db29,scan_float_,75084,0x1254c,1361282,0x14c582,_no_support_loaded_
1320635,0x1426bb,HMInputLine_,77012,0x12cd4,1368816,0x14e2f0,_DOSDefaultAbortModemFunction_
1320712,0x142708,HMInputLine_,77016,0x12cd8,1368880,0x14e330,_DOSDefaultIdleFunction_
1327294,0x1440be,_MEM_alloc_lock,71780,0x11864,1231736,0x12cb78,malloc_
1327386,0x14411a,_MEM_free_lock,71784,0x11868,1231606,0x12caf6,free_
1328597,0x1445d5,_DLL_load,71780,0x11864,1231736,0x12cb78,malloc_
1340661,0x1474f5,_AIL_API_install_DIG_driver_file,71784,0x11868,1231606,0x12caf6,free_
1351731,0x14a033,_XMI_construct_MDI_driver,71780,0x11864,1231736,0x12cb78,malloc_
1352581,0x14a385,_AIL_API_install_MDI_driver_file,71784,0x11868,1231606,0x12caf6,free_
1368519,0x14e1c7,timer_,77016,0x12cd8,1368880,0x14e330,_DOSDefaultIdleFunction_
1368553,0x14e1e9,PortKillTime_,77016,0x12cd8,1368880,0x14e330,_DOSDefaultIdleFunction_
1389193,0x153289,abort_,77128,0x12d48,1389199,0x15328f,__terminate_
1391940,0x153d44,__FPE2Handler_,51757,0xca2d,1241094,0x12f006,__null_FPE_rtn
