site_offset,site_hex,function,slot_offset,slot_hex,width,slot_symbols,classification
1049118,0x10021e,Screen_Flic_Capture_,266760,0x41208,DWORD,_Restore_Mouse,named runtime/static callback slot
1049397,0x100335,Screen_Flic_Capture_,276648,0x438a8,DWORD,_Set_Bank_Read,named runtime/static callback slot
1086232,0x109318,Invoke_Saved_Auto_Function_,231492,0x38844,DWORD,_function2,named runtime/static callback slot
1134264,0x114eb8,Copy_Off_To_On_,276616,0x43888,DWORD,_Copy_Off_To_On_Page,named runtime/static callback slot
1134392,0x114f38,Toggle_Pages_,276636,0x4389c,DWORD,_Full_Screen_Dump,named runtime/static callback slot
1134411,0x114f4b,Toggle_Pages_,276628,0x43894,DWORD,_Switch_Video_Pages,named runtime/static callback slot
1134464,0x114f80,Toggle_Pages_,266764,0x4120c,DWORD,_Save_Mouse,named runtime/static callback slot
1134470,0x114f86,Toggle_Pages_,266768,0x41210,DWORD,_Draw_Mouse,named runtime/static callback slot
1134591,0x114fff,Toggle_Pages_,276632,0x43898,DWORD,_Masked_Screen_Dump,named runtime/static callback slot
1134599,0x115007,Toggle_Pages_,276640,0x438a0,DWORD,_Partial_Screen_Dump,named runtime/static callback slot
1136024,0x115598,Cls_On_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136063,0x1155bf,Cls_On_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136170,0x11562a,Full_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136216,0x115658,Full_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136343,0x1156d7,Masked_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136424,0x115728,Masked_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136552,0x1157a8,Masked_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136724,0x115854,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136907,0x11590b,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1136954,0x11593a,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1137166,0x115a0e,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1137214,0x115a3e,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1137426,0x115b12,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1137474,0x115b42,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1137686,0x115c16,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1137734,0x115c46,Partial_Screen_Dump_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1139535,0x11634f,Copy_Off_To_On_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1139642,0x1163ba,Copy_Off_To_On_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1139687,0x1163e7,Copy_Off_To_On_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1139725,0x11640d,Save_Video_State_Hi_Res_,276620,0x4388c,DWORD,_Get_Bank_Write,named runtime/static callback slot
1139760,0x116430,Restore_Video_State_Hi_Res_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1159411,0x11b0f3,Draw_Animated_Sprite_On_Page_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1159767,0x11b257,Draw_Animated_Sprite_On_Page_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1160035,0x11b363,Draw_Screen_Background_On_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1160571,0x11b57b,Draw_Glassed_Screen_Background_On_,276644,0x438a4,DWORD,_Set_Bank_Write,named runtime/static callback slot
1164526,0x11c4ee,New09_Handler_,279260,0x442dc,FWORD,_Old_Int09,named runtime/static callback slot
1241847,0x12f2f7,exit_,51784,0xca48,DWORD,___atexit,named runtime/static callback slot
1241853,0x12f2fd,exit_,51788,0xca4c,DWORD,___int23_exit,named runtime/static callback slot
1241871,0x12f30f,_exit_,51788,0xca4c,DWORD,___int23_exit,named runtime/static callback slot
1241877,0x12f315,_exit_,51792,0xca50,DWORD,___FPE_handler_exit,named runtime/static callback slot
1272461,0x136a8d,float_format_,75080,0x12548,DWORD,___EFG_printf,named runtime/static callback slot
1284885,0x139b15,MSSWINSMACKTIMERREAD,310306,0x4bc22,FWORD,_mssaddr,named runtime/static callback slot
1285862,0x139ee6,MSSLOWSOUNDPLAYED,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1285992,0x139f68,MSSLOWSOUNDCHECK,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1286314,0x13a0aa,SMACKWAIT,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1286366,0x13a0de,SMACKWAIT,310328,0x4bc38,DWORD,_LowSoundPlayedAddr,named runtime/static callback slot
1286432,0x13a120,SMACKWAIT,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1286585,0x13a1b9,SMACKSOUNDCHECK,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1286898,0x13a2f2,SMACKTOBUFFERRECT,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1286938,0x13a31a,SMACKTOBUFFERRECT,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
