site_offset,site_hex,kind,operand,form,likely_switch,function,function_offset,segment
1991,0x7c7,call,DWORD PTR [eax],memory,0,Execute_Auto_Function_,1986,
8587,0x218b,jump,DWORD PTR cs:[eax*4+0x2165],indexed_memory,1,Make_Autosave_File_Name_,8565,
23554,0x5c02,jump,DWORD PTR cs:[eax*4+0x5bcd],indexed_memory,1,Get_Council_Message_,23529,
23996,0x5dbc,jump,DWORD PTR cs:[eax*4+0x5d94],indexed_memory,1,Next_Council_State_,23984,
24214,0x5e96,jump,DWORD PTR cs:[eax*4+0x5ddc],indexed_memory,1,Council_Finished_Voting_,24056,
30497,0x7721,jump,DWORD PTR cs:[edx*4+0x7568],indexed_memory,1,Get_Main_Diplomacy_Choices_,30092,
32410,0x7e9a,jump,DWORD PTR cs:[eax*4+0x7d47],indexed_memory,1,Diplomacy_Propose_Treaty_,32091,
34258,0x85d2,jump,DWORD PTR cs:[eax*4+0x85ad],indexed_memory,1,Get_Human_Offer_Gift_Message_,34237,
34534,0x86e6,jump,DWORD PTR cs:[eax*4+0x86af],indexed_memory,1,Get_Human_Demand_Message_,34515,
40094,0x9c9e,jump,DWORD PTR cs:[eax*4+0x9b68],indexed_memory,1,Diplomacy_Need_Better_Offer_,39800,
46234,0xb49a,jump,DWORD PTR cs:[ecx*4+0xb463],indexed_memory,1,Diplomacy_Give_In_To_Demand_,46215,
46537,0xb5c9,jump,DWORD PTR cs:[eax*4+0xb594],indexed_memory,1,Get_Human_Demand_Response_,46520,
47043,0xb7c3,jump,DWORD PTR cs:[ecx*4+0xb714],indexed_memory,1,Get_Human_Gift_Response_,46884,
67378,0x10732,jump,DWORD PTR cs:[eax*4+0x10612],indexed_memory,1,Event_Twiddle_,67234,
72625,0x11bb1,jump,DWORD PTR cs:[eax*4+0x11af9],indexed_memory,1,Get_Event_Message_,72557,
77766,0x12fc6,jump,DWORD PTR cs:[edx*4+0x12f48],indexed_memory,1,Get_Antaran_Victim_,77660,
78656,0x13340,jump,DWORD PTR cs:[eax*4+0x13318],indexed_memory,1,Event_Monster_Update_,78636,
83170,0x144e2,jump,DWORD PTR cs:[ebx*4+0x14477],indexed_memory,1,Event_Pirate_Activity_Strength_,83087,
84723,0x14af3,jump,DWORD PTR cs:[eax*4+0x14a9e],indexed_memory,1,Decode_Text_Message_,84682,
107946,0x1a5aa,jump,DWORD PTR cs:[edx*4+0x1a52d],indexed_memory,1,Combat_Ship_Class_,107845,
111003,0x1b19b,jump,DWORD PTR cs:[eax*4+0x1b169],indexed_memory,1,Convert_Ordinal_To_Msl_Type_,110993,
124379,0x1e5db,jump,DWORD PTR cs:[eax*4+0x1e2bd],indexed_memory,1,Draw_Weapon_Status_Display_,123597,
141235,0x227b3,jump,DWORD PTR cs:[eax*4+0x226f5],indexed_memory,1,Draw_Weapon_Arcs_,141109,
143917,0x2322d,jump,DWORD PTR cs:[eax*4+0x23185],indexed_memory,1,Remap_Draw_Ship_Status_,143769,
146708,0x23d14,jump,DWORD PTR cs:[eax*4+0x23ce6],indexed_memory,1,Crew_Quality_String_,146682,
147009,0x23e41,jump,DWORD PTR cs:[edi*4+0x23dab],indexed_memory,1,Plasma_Darken_,146883,
148771,0x24523,jump,DWORD PTR cs:[eax*4+0x24444],indexed_memory,1,Get_Draw_Ship_Offsets_,148564,
171944,0x29fa8,jump,DWORD PTR cs:[eax*4+0x29f05],indexed_memory,1,Weapon_In_Range_,171805,
