index,language_offset,name,locals_offset,locals_entries,types_offset,types_entries,lines_offset,lines_entries
0,0,L:\MOX\MOX.C,0,0,0,0,0,0
1,0,L:\MOX\MOX2.C,0,0,0,0,0,0
2,0,L:\MOX\ALLOC.C,0,0,0,0,0,0
3,0,L:\MOX\FILEDEF.C,0,0,0,0,0,0
4,0,L:\MOX\INITGAME.C,0,0,0,0,0,0
5,0,L:\MOX\LOADER.C,0,0,0,0,0,0
6,0,L:\MOX\NEXTTURN.C,0,0,0,0,0,0
7,0,L:\MOX\ERICNET.C,0,0,0,0,0,0
8,0,L:\MOX\TECHDATA.C,0,0,0,0,0,0
9,0,D:\MOX\ANTAROOM.C,0,0,0,0,0,0
10,0,D:\MOX\SMACK.C,0,0,0,0,0,0
11,0,D:\MOX\RACECUST.C,0,0,0,0,0,0
12,0,D:\MOX\COUNCIL.C,0,0,0,0,0,0
13,0,D:\MOX\DIPLODEF.C,0,0,0,0,0,0
14,0,D:\MOX\DIP-SCRN.C,0,0,0,0,0,0
15,0,D:\MOX\EVENTS.C,0,0,0,0,0,0
16,0,D:\MOX\JIM.C,0,0,0,0,0,0
17,0,D:\MOX\NPCDIPLO.C,0,0,0,0,0,0
18,0,D:\MOX\OTHERS\CMBTAI.C,0,0,0,0,0,0
19,0,D:\MOX\OTHERS\CMBTDRW1.C,0,0,0,0,0,0
20,0,D:\MOX\OTHERS\CMBTFIR2.C,0,0,0,0,0,0
21,0,D:\MOX\OTHERS\CMBTFIRE.C,0,0,0,0,0,0
22,0,D:\MOX\OTHERS\CMBTMIS.C,0,0,0,0,0,0
23,0,D:\MOX\OTHERS\CMBTMOV1.C,0,0,0,0,0,0
24,0,D:\MOX\OTHERS\COMBAT.C,0,0,0,0,0,0
25,0,D:\MOX\OTHERS\COMBAT1.C,0,0,0,0,0,0
26,0,D:\MOX\OTHERS\COMBINIT.C,0,0,0,0,0,0
27,0,D:\MOX\DIPLOMAC.C,0,0,0,0,0,0
28,0,D:\MOX\OTHERS\INITSHIP.C,0,0,0,0,0,0
29,0,D:\MOX\OTHERS\KEN.C,0,0,0,0,0,0
30,0,D:\MOX\OTHERS\RACEOPT.C,0,0,0,0,0,0
31,0,D:\MOX\OTHERS\RACESEL.C,0,0,0,0,0,0
32,0,D:\MOX\OTHERS\SHIPSTAK.C,0,0,0,0,0,0
33,0,D:\MOX\OTHERS\TECHINIT.C,0,0,0,0,0,0
34,0,D:\MOX\OTHERS\AIPOWER.C,0,0,0,0,0,0
35,0,D:\MOX\OTHERS\AIDESIGN.C,0,0,0,0,0,0
36,0,D:\MOX\OTHERS\HOTPOP.C,0,0,0,0,0,0
37,0,D:\MOX\OTHERS\ADVCIV.C,0,0,0,0,0,0
