name,module,segment,offset,file_offset,provisional_size,caller_count,callee_count
Pops_Identical_,D:\MOX\OTHERS\COLMOVE.C,1,695523,1307447,191,1,1
Get_Effective_Pop_Player_,D:\MOX\OTHERS\COLONY.C,1,699852,1311776,78,2,0
Pop_To_Pop_State_,D:\MOX\OTHERS\COLONY.C,1,707279,1319203,56,8,0
cmp_Pop_,D:\MOX\OTHERS\COLSUM.C,1,734965,1346889,66,0,0
Evaluate_Colony_Pop_Input_,D:\MOX\OTHERS\COLSUM.C,1,737641,1349565,331,1,6
Colony_Pop_Prod_Produced_,D:\MOX\OTHERS\COLCALC.C,1,843731,1455655,107,7,1
Colony_Pop_Base_Prod_Produced_,D:\MOX\OTHERS\COLCALC.C,1,844332,1456256,84,1,0
Size_Subterranean_Pop_Bonus_,D:\MOX\OTHERS\COLCALC.C,1,854548,1466472,4,1,0
Size_And_Climate_Max_Population_,D:\MOX\OTHERS\COLCALC.C,1,854552,1466476,49,1,0
Size_And_Climate_Race_Pop_Limit_,D:\MOX\OTHERS\COLCALC.C,1,854675,1466599,188,2,1
Planet_Max_Population_For_Player_,D:\MOX\OTHERS\COLCALC.C,1,854863,1466787,206,14,2
Colony_Race_Pop_Limit_,D:\MOX\OTHERS\COLCALC.C,1,855069,1466993,81,11,1
Colony_N_Pops_Of_Empire_,D:\MOX\OTHERS\COLCALC.C,1,855150,1467074,45,1,0
Colony_Pop_Grows_,D:\MOX\OTHERS\COLCALC.C,1,858169,1470093,1204,4,6
Apply_Colony_Pop_Growth_,D:\MOX\OTHERS\COLCALC.C,1,863690,1475614,1676,1,6
Get_Player_Max_Population_,D:\MOX\OTHERS\COLCALC.C,1,875287,1487211,82,1,1
Get_System_Population_,D:\MOX\OTHERS\COLCALC.C,1,875369,1487293,111,4,0
Enforce_Population_Limits_At_Colony_,D:\MOX\OTHERS\INVASION.C,1,903548,1515472,489,4,3
