order,scc,module_count,internal_cross_calls,modules
1,2,1,0,D:\MOX\BILLHELP.C
2,1,1,0,D:\MOX\FMTPARA.C
3,0,1,0,D:\MOX\OTHERS\ASSERT.C
4,7,1,0,D:\MOX\OTHERS\ERICHELP.C
5,6,1,0,D:\MOX\OTHERS\ESTRINGS.C
6,9,1,0,D:\MOX\OTHERS\FIREPTS.C
7,5,1,0,D:\MOX\OTHERS\FLCQUEUE.C
8,8,1,0,D:\MOX\OTHERS\GEO.C
9,4,1,0,D:\MOX\OTHERS\SCROLL.C
10,10,1,0,D:\MOX\RACECUST.C
11,11,1,0,L:\MOX\ALLOC.C
12,3,1,0,L:\MOX\MOX.C
13,12,116,7328,D:\MOX\ANTAROOM.C | D:\MOX\BILL.C | D:\MOX\COUNCIL.C | D:\MOX\DIP-SCRN.C | D:\MOX\DIPLOMAC.C | D:\MOX\EVENTS.C | D:\MOX\FIELDSAV.C | D:\MOX\INFO.C | D:\MOX\JIM.C | D:\MOX\LIST.C | D:\MOX\NPCDIPLO.C | D:\MOX\OTHERS\ADVCIV.C | D:\MOX\OTHERS\AIBOMB.C | D:\MOX\OTHERS\AIBUILD.C | D:\MOX\OTHERS\AIDATA.C | D:\MOX\OTHERS\AIDESIGN.C | D:\MOX\OTHERS\AIDUDES.C | D:\MOX\OTHERS\AILEADER.C | D:\MOX\OTHERS\AIMOVE.C | D:\MOX\OTHERS\AIPOWER.C | D:\MOX\OTHERS\AISTAGE.C | D:\MOX\OTHERS\AITECH.C | D:\MOX\OTHERS\ANTARANS.C | D:\MOX\OTHERS\BEAMS.C | D:\MOX\OTHERS\BOMB.C | D:\MOX\OTHERS\CHAT.C | D:\MOX\OTHERS\CMBTAI.C | D:\MOX\OTHERS\CMBTDRW1.C | D:\MOX\OTHERS\CMBTFIR2.C | D:\MOX\OTHERS\CMBTFIRE.C | D:\MOX\OTHERS\CMBTMIS.C | D:\MOX\OTHERS\CMBTMOV1.C | D:\MOX\OTHERS\CMBTSPEC.C | D:\MOX\OTHERS\COLBCACH.C | D:\MOX\OTHERS\COLBLDG.C | D:\MOX\OTHERS\COLBOMB.C | D:\MOX\OTHERS\COLCALC.C | D:\MOX\OTHERS\COLDRAW.C | D:\MOX\OTHERS\COLGCBT.C | D:\MOX\OTHERS\COLLAND.C | D:\MOX\OTHERS\COLMOVE.C | D:\MOX\OTHERS\COLONIZE.C | D:\MOX\OTHERS\COLONY.C | D:\MOX\OTHERS\COLREFIT.C | D:\MOX\OTHERS\COLSUM.C | D:\MOX\OTHERS\COLSYSDI.C | D:\MOX\OTHERS\COLXPORT.C | D:\MOX\OTHERS\COMBAT.C | D:\MOX\OTHERS\COMBAT1.C | D:\MOX\OTHERS\COMBFIND.C | D:\MOX\OTHERS\COMBINIT.C | D:\MOX\OTHERS\CONTACT.C | D:\MOX\OTHERS\DESBOX.C | D:\MOX\OTHERS\DESIGN.C | D:\MOX\OTHERS\ERIC.C | D:\MOX\OTHERS\EVANHELP.C | D:\MOX\OTHERS\FAKEBUTS.C | D:\MOX\OTHERS\FLEETPOP.C | D:\MOX\OTHERS\FLT1.C | D:\MOX\OTHERS\FLT2.C | D:\MOX\OTHERS\GENDRAW.C | D:\MOX\OTHERS\HACCESS.C | D:\MOX\OTHERS\HAROLD.C | D:\MOX\OTHERS\HOMEGEN.C | D:\MOX\OTHERS\HOTPOP.C | D:\MOX\OTHERS\INITSHIP.C | D:\MOX\OTHERS\INVASION.C | D:\MOX\OTHERS\KEN.C | D:\MOX\OTHERS\LOADSAVE.C | D:\MOX\OTHERS\LOSTSHIP.C | D:\MOX\OTHERS\MAINMENU.C | D:\MOX\OTHERS\MAINPUPS.C | D:\MOX\OTHERS\MAINSCR.C | D:\MOX\OTHERS\MAINSCR2.C | D:\MOX\OTHERS\MAINTAIN.C | D:\MOX\OTHERS\MAPGEN.C | D:\MOX\OTHERS\MISC.C | D:\MOX\OTHERS\MOVEBOX.C | D:\MOX\OTHERS\MSG.C | D:\MOX\OTHERS\MULTPLAY.C | D:\MOX\OTHERS\NAMESTAR.C | D:\MOX\OTHERS\NETMOX.C | D:\MOX\OTHERS\NETSTART.C | D:\MOX\OTHERS\NETTURN.C | D:\MOX\OTHERS\NEWGAME.C | D:\MOX\OTHERS\NEWPUP.C | D:\MOX\OTHERS\NEWTECH.C | D:\MOX\OTHERS\OCPOLPUP.C | D:\MOX\OTHERS\OFFICER.C | D:\MOX\OTHERS\PLNTSUM.C | D:\MOX\OTHERS\RACEOPT.C | D:\MOX\OTHERS\RACESEL.C | D:\MOX\OTHERS\REPORT.C | D:\MOX\OTHERS\RUSS.C | D:\MOX\OTHERS\SCORE.C | D:\MOX\OTHERS\SETTLER.C | D:\MOX\OTHERS\SHIPMOVE.C | D:\MOX\OTHERS\SHIPS.C | D:\MOX\OTHERS\SHIPSTAK.C | D:\MOX\OTHERS\SPY.C | D:\MOX\OTHERS\SYS.C | D:\MOX\OTHERS\TECHINIT.C | D:\MOX\OTHERS\TEXTBOX.C | D:\MOX\OTHERS\TRADE.C | D:\MOX\RACERPRT.C | D:\MOX\RACESCRN.C | D:\MOX\SCIENCE.C | D:\MOX\SMACK.C | D:\MOX\TECH.C | D:\MOX\TURNSUM.C | L:\MOX\ERICNET.C | L:\MOX\FILEDEF.C | L:\MOX\INITGAME.C | L:\MOX\LOADER.C | L:\MOX\MOX2.C | L:\MOX\NEXTTURN.C
14,13,1,0,D:\MOX\OTHERS\AITRADE.C
