site_hex,function,slot_hex,initial_value_hex,target_offset_hex,target_symbol,exact_symbol
0x12f2f7,exit_,0xca48,0x12f2f3,0x12f2f3,_null_exit_rtn_,1
0x12f2fd,exit_,0xca4c,0x12f2f3,0x12f2f3,_null_exit_rtn_,1
0x12f30f,_exit_,0xca4c,0x12f2f3,0x12f2f3,_null_exit_rtn_,1
0x12f315,_exit_,0xca50,0x12f2f3,0x12f2f3,_null_exit_rtn_,1
0x136a8d,float_format_,0x12548,0x14c582,0x14c582,_no_support_loaded_,1
0x13bc5d,SMACKOPEN,0x125b8,0x14c730,0x14c730,DEFSMACKTIMERSETUP,1
0x13db29,scan_float_,0x1254c,0x14c582,0x14c582,_no_support_loaded_,1
0x1426bb,HMInputLine_,0x12cd4,0x14e2f0,0x14e2f0,_DOSDefaultAbortModemFunction_,1
0x142708,HMInputLine_,0x12cd8,0x14e330,0x14e330,_DOSDefaultIdleFunction_,1
0x1440be,_MEM_alloc_lock,0x11864,0x12cb78,0x12cb78,malloc_,1
0x14411a,_MEM_free_lock,0x11868,0x12caf6,0x12caf6,free_,1
0x1445d5,_DLL_load,0x11864,0x12cb78,0x12cb78,malloc_,1
0x1474f5,_AIL_API_install_DIG_driver_file,0x11868,0x12caf6,0x12caf6,free_,1
0x14a033,_XMI_construct_MDI_driver,0x11864,0x12cb78,0x12cb78,malloc_,1
0x14a385,_AIL_API_install_MDI_driver_file,0x11868,0x12caf6,0x12caf6,free_,1
0x14e1c7,timer_,0x12cd8,0x14e330,0x14e330,_DOSDefaultIdleFunction_,1
0x14e1e9,PortKillTime_,0x12cd8,0x14e330,0x14e330,_DOSDefaultIdleFunction_,1
0x153289,abort_,0x12d48,0x15328f,0x15328f,__terminate_,1
0x153d44,__FPE2Handler_,0xca2d,0x12f006,0x12f006,__null_FPE_rtn,1
