caller,caller_offset,jump_site,target_owner,target_owner_offset,target,target_delta
main2_,87,1007,___begtext,3,6,3
Check_Command_Line_Parameters_,2022,2569,main2_,87,991,904
Save_Game_,5643,5860,Load_Game_,3631,5630,1999
Save_Game_,5643,7135,Load_Game_,3631,5630,1999
Get_Saved_Game_Descriptions_,7299,7679,Load_Game_,3631,5637,2006
Get_Star_Date_From_Save_File_,7766,7843,Check_Magic_Number_,7684,7760,76
Save_Out_Settings_To_Temp_File_,7953,8135,Read_Settings_From_Save_File_,7854,7947,93
Get_Game_Type_From_Saved_Game_,8140,8232,Check_Magic_Number_,7684,7750,66
Save_Session_Related_Settings_,8240,8437,Load_Game_,3631,5636,2005
Init_Players_,10627,11632,Make_System_Monsters_Into_Ships_,8908,9159,251
Init_Leaders_,12415,12655,Make_System_Monsters_Into_Ships_,8908,9159,251
Init_Non_Homeworld_Colony_,16312,16319,Init_Homeworld_Colony_,16295,16305,10
Remove_Building_,17898,17984,Add_Building_,16345,17892,1547
Remove_Building_,17898,18008,Add_Building_,16345,17892,1547
Remove_Building_,17898,18044,Add_Building_,16345,17892,1547
Remove_Building_,17898,18204,Add_Building_,16345,17892,1547
Remove_Building_,17898,18293,Add_Building_,16345,17892,1547
Remove_Building_,17898,18386,Add_Building_,16345,17892,1547
Do_Academy_At_Location_Check_,18554,18704,Calc_Ship_Level_,18407,18548,141
Control_Main_Council_Screen_,21408,21532,Draw_Main_Council_Screen_,21537,22222,685
Reload_Main_Council_Screen_,22228,23435,Draw_Main_Council_Screen_,21537,22222,685
Get_Council_Message_,23529,23588,Draw_Main_Council_Screen_,21537,22221,684
Get_Council_Message_,23529,23648,Draw_Main_Council_Screen_,21537,22221,684
Get_Council_Message_,23529,23715,Draw_Main_Council_Screen_,21537,22221,684
Get_Council_Message_,23529,23822,Draw_Main_Council_Screen_,21537,22221,684
Get_Council_Message_,23529,23951,Draw_Main_Council_Screen_,21537,22221,684
Council_Votes_,24252,24604,Draw_Main_Council_Screen_,21537,22222,685
Get_Main_Diplomacy_Choices_,30092,30786,Draw_Diplomacy_Synch_Mode_,28416,29188,772
Diplomacy_Fade_In_,31751,32024,Draw_Diplomacy_Synch_Mode_,28416,29189,773
Diplomacy_Break_Treaty_,32980,33540,Diplomacy_Propose_Treaty_,32091,32569,478
Get_Human_Declare_War_Message_,34198,34219,Get_Human_Surrender_Message_,34144,34165,21
Get_Human_Tech_Exchange_Accept_Message_,35623,35641,Get_Human_Propose_Treaty_Message_,35308,35465,157
Get_Human_Tech_Exchange_Decline_Message_,35646,35664,Get_Human_Propose_Treaty_Message_,35308,35465,157
Diplomacy_Offer_Gift_,38085,38634,Diplomacy_Demand_,35705,37274,1569
Diplomacy_Offer_Gift_,38085,38677,Diplomacy_Demand_,35705,37274,1569
Diplomacy_Offer_Gift_,38085,38963,Diplomacy_Demand_,35705,37274,1569
Diplomacy_Offer_Gift_,38085,38978,Diplomacy_Demand_,35705,37274,1569
Diplomacy_Offer_Gift_,38085,39159,Diplomacy_Demand_,35705,37274,1569
Diplomacy_Offer_Gift_,38085,39188,Diplomacy_Demand_,35705,37274,1569
Get_Diplomacy_Demand_Treaty_List_,42061,42242,Diplomacy_Need_Better_Offer_,39800,40281,481
Npc_Give_Gift_,44725,44791,Diplomacy_Propose_Treaty_,32091,32569,478
Npc_Give_Gift_,44725,44834,Diplomacy_Propose_Treaty_,32091,32569,478
Npc_Give_Gift_,44725,44892,Diplomacy_Propose_Treaty_,32091,32569,478
Npc_Give_Gift_,44725,44955,Diplomacy_Propose_Treaty_,32091,32569,478
Npc_Diplomacy_Screen_,44966,45158,Npc_Display_Diplomacy_Messages_,42247,42389,142
Check_Better_Offer_Available_,45914,45974,Diplomacy_Propose_Treaty_,32091,32569,478
Check_Better_Offer_Available_,45914,46000,Diplomacy_Propose_Treaty_,32091,32569,478
Get_Human_Demand_Response_,46520,46691,Diplomacy_Need_Better_Offer_,39800,40281,481
Get_Human_Demand_Response_,46520,46863,Diplomacy_Need_Better_Offer_,39800,40281,481
Diplomacy_Mouse_Init_,47406,48470,Draw_Diplomacy_Synch_Mode_,28416,29189,773
Diplomacy_Human_Need_Better_Offer_,48475,50194,Diplomacy_Propose_Treaty_,32091,32569,478
Check_Surrender_System_,50199,50292,Diplomacy_Propose_Treaty_,32091,32569,478
Draw_Diplomacy_System_Text_,51417,51831,Diplomacy_Propose_Treaty_,32091,32569,478
Diplomacy_System_Scan_,51836,52040,Diplomacy_Need_Better_Offer_,39800,40281,481
Diplomacy_Exchange_Technology_,52045,53164,Diplomacy_Propose_Treaty_,32091,32569,478
Diplomacy_Surrender_,53496,53714,Diplomacy_Declare_War_Resolution_,31220,31556,336
Diplomacy_Surrender_,53496,53810,Diplomacy_Declare_War_Resolution_,31220,31556,336
Diplomacy_Offer_Money_,53815,54425,Diplomacy_System_Display_,50297,51168,871
Diplomacy_Offer_Money_,53815,54496,Diplomacy_System_Display_,50297,51168,871
Diplomacy_Listen_Mode_,60905,61270,Diplomacy_Propose_Treaty_,32091,32569,478
Get_Listen_Mode_Message_,62283,62327,Get_Human_Surrender_Message_,34144,34170,26
Load_Diplomacy_Text_Messages_,62332,64526,Draw_Diplomacy_Synch_Mode_,28416,29189,773
Setup_Diplomacy_Help_,64531,64769,Diplomacy_Propose_Treaty_,32091,32569,478
Set_Opportunity_Attacks_,64896,65240,Draw_Diplomacy_Synch_Mode_,28416,29188,772
Add_Diplomacy_Turn_Summary_Messages_,65269,65512,Draw_Diplomacy_Synch_Mode_,28416,29188,772
Resolve_Delayed_Diplomacy_Orders_,65517,65726,Draw_Diplomacy_Synch_Mode_,28416,29189,773
Setup_Next_Event_,70513,72390,Pick_Random_Colony_No_Outpost_,81220,81305,85
Setup_Next_Event_,70513,72436,Pick_Random_Colony_No_Outpost_,81220,81305,85
Setup_Next_Event_,70513,72553,Get_Event_Message_,72557,72587,30
Determine_Event_,74506,75996,Pick_Random_Colony_No_Outpost_,81220,81305,85
Get_Event_Victim_,77143,77635,Pick_Random_Colony_No_Outpost_,81220,81305,85
Get_Antaran_Victim_,77660,78001,Pick_Random_Colony_No_Outpost_,81220,81305,85
Get_Event_Climate_Change_Colony_,78092,78255,Pick_Random_Colony_No_Outpost_,81220,81306,86
Get_Event_Industrial_Accident_Colony_,78260,78425,Get_Event_Climate_Change_Colony_,78092,78253,161
Event_Check_Planet_Warning_,79203,79674,Pick_Random_Colony_No_Outpost_,81220,81305,85
Pick_Completely_Random_Star_,80479,80675,Get_Event_Climate_Change_Colony_,78092,78253,161
Ship_Size_Points_At_Star_,80680,80735,Event_Get_Fleet_Strength_,74301,74363,62
Pick_Random_Player_In_Contact_,80765,80871,Pick_Random_Colony_No_Outpost_,81220,81305,85
Pick_Random_Star_,80876,81052,Pick_Random_Colony_No_Outpost_,81220,81305,85
Pick_Random_Officer_,81057,81128,Pick_Random_Colony_No_Outpost_,81220,81306,86
Pick_Random_Ship_,81133,81218,Pick_Random_Colony_No_Outpost_,81220,81306,86
Pick_Random_Colony_No_Capitol_,81312,81404,Pick_Random_Colony_No_Outpost_,81220,81303,83
Kill_All_Events_At_Colony_,81951,82634,Pick_Random_Colony_No_Outpost_,81220,81306,86
Star_Has_Event_,82684,83063,main2_,87,325,238
Determine_Lucky_Players_Events_,83217,83391,Pick_Random_Colony_No_Outpost_,81220,81303,83
Decode_Text_Race_And_Name_,85296,85319,Decode_Text_Stat_,85512,85536,24
Decode_Text_Name_And_System_,85354,85377,Decode_Text_Name_And_Stat_,85324,85348,24
Decode_Text_Name_And_Tech_,85379,85402,Decode_Text_Name_And_Stat_,85324,85348,24
Decode_Text_Name_And_Name_,85488,85507,Decode_Text_Name_And_Stat_,85324,85343,19
Decode_Text_System_,85543,85564,Decode_Text_Stat_,85512,85534,22
Decode_Text_Field_,85566,85586,Decode_Text_Stat_,85512,85532,20
Decode_Text_Tech_And_Other_Name_,85619,85649,Decode_Text_Name_And_Other_Tech_,85404,85435,31
