module_index,module,symbol_type,static,name,segment,offset,file_offset,subsystems
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Threats_,1,86741,698665,ai
17,D:\MOX\NPCDIPLO.C,code,False,Honor_Alliances_,1,88786,700710,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Declarations_Of_War_,1,89585,701509,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Peace_Negotiations_,1,91914,703838,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Required_Alliances_,1,92317,704241,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Good_Proposal_Check_,1,95086,707010,ai
17,D:\MOX\NPCDIPLO.C,code,False,Clear_Last_Proposal_Turn_,1,95495,707419,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Message_Rejection_Check_,1,95583,707507,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Proposal_Rejection_Accept_,1,95974,707898,ai
17,D:\MOX\NPCDIPLO.C,code,False,NPC_Surrender_Check_,1,96829,708753,ai
90,D:\MOX\OTHERS\AIBOMB.C,code,False,AI_Invasion_Will_Succeed_,1,782958,1394882,ai
90,D:\MOX\OTHERS\AIBOMB.C,code,False,AI_Player_Invades_,1,783180,1395104,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,False,Product_Name_,1,783256,1395180,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,True,Compute_Freighter_Need_,1,783293,1395217,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,True,Compute_Needs_,1,783373,1395297,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,False,Compute_Empire_Building_Needs_,1,785590,1397514,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,True,Find_Buildable_Buildings_,1,786091,1398015,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,True,Force_Produce_,1,789746,1401670,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,False,Player_War_Level_,1,790534,1402458,ai
91,D:\MOX\OTHERS\AIBUILD.C,code,False,Assign_Empire_Building_,1,790766,1402690,ai
92,D:\MOX\OTHERS\AIDATA.C,code,False,Uncolonized_Planet_Worth_To_Player_,1,796583,1408507,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Star_In_Range_Of_Given_Star_,1,797353,1409277,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Proximity_Worth_To_Player_,1,797418,1409342,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Compute_Base_Planet_Values_,1,798766,1410690,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Compute_Contextual_Planet_Values_,1,799013,1410937,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Refit_Desirability_,1,799697,1411621,ai
92,D:\MOX\OTHERS\AIDATA.C,code,False,airefit_cmp_,1,800111,1412035,ai
92,D:\MOX\OTHERS\AIDATA.C,code,False,Player_N_Turns_From_Star_To_Star_With_Intermediate_,1,800118,1412042,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Find_Players_In_Range_,1,801384,1413308,ai
92,D:\MOX\OTHERS\AIDATA.C,code,True,Compute_Star_Player_Range_Info_,1,801696,1413620,ai
92,D:\MOX\OTHERS\AIDATA.C,code,False,Compute_AI_Data_,1,802100,1414024,ai
92,D:\MOX\OTHERS\AIDATA.C,code,False,Deallocate_AI_Data_,1,808781,1420705,ai
35,D:\MOX\OTHERS\AIDESIGN.C,code,False,Fighters_Available_,1,325992,937916,ai
35,D:\MOX\OTHERS\AIDESIGN.C,code,False,Special_Devices_Available_,1,326122,938046,ai
35,D:\MOX\OTHERS\AIDESIGN.C,code,False,Special_Legal_For_Design_,1,327052,938976,ai
35,D:\MOX\OTHERS\AIDESIGN.C,code,False,Add_Specials_To_Design_,1,327188,939112,ai
35,D:\MOX\OTHERS\AIDESIGN.C,code,False,Add_Theme_Special_To_Design_,1,327871,939795,ai
35,D:\MOX\OTHERS\AIDESIGN.C,code,False,Add_Fighters_To_Design_,1,328108,940032,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,Assign_Buildings_,1,809115,1421039,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,Freighter_Cheat_,1,810393,1422317,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,Assign_Required_Colonists_,1,810977,1422901,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,FI_Worthiness_,1,811301,1423225,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,Compute_Max_Min_R_I_Worthiness_,1,812170,1424094,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,F_IR_Worthiness_,1,813098,1425022,ai
93,D:\MOX\OTHERS\AIDUDES.C,code,True,Assign_Additional_Unblockaded_Farmers_,1,813780,1425704,ai
94,D:\MOX\OTHERS\AILEADER.C,code,True,Assign_Star_Officer_,1,815473,1427397,ai
94,D:\MOX\OTHERS\AILEADER.C,code,True,Assign_Unassigned_Leaders_,1,816084,1428008,ai
94,D:\MOX\OTHERS\AILEADER.C,code,False,Do_AI_Leaders_,1,816185,1428109,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,True,Sort_colonizable_,1,816738,1428662,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,False,AI_May_Attack_Player_,1,816745,1428669,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,False,Get_Colonizable_Planets_,1,816824,1428748,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,True,Delete_Already_Assigned_Planets_,1,816996,1428920,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,True,Get_Enemy_Strength_On_Turn_,1,818180,1430104,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,True,Sort_candidate_stars_,1,821319,1433243,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,True,Star_Has_Monster_,1,821547,1433471,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,False,Best_Uncolonized_Undestined_Planet_,1,822393,1434317,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,False,Player_Is_Hostile_To_Player_,1,822753,1434677,ai
95,D:\MOX\OTHERS\AIMOVE.C,code,False,N_Enemy_Stars_Reachable_,1,822866,1434790,ai
