site_offset,site_hex,index_register,bound_source_hex,dispatch_evidence,max_index,entry_count,table_offset,table_hex,table_end_hex,unique_targets
8587,0x218b,eax,0x2184,cmp/ja,3,4,8549,0x2165,0x2175,4
23554,0x5c02,eax,0x5bf7,cmp/ja,6,7,23501,0x5bcd,0x5be9,7
23996,0x5dbc,eax,0x5db5,cmp/ja,6,7,23956,0x5d94,0x5db0,4
24214,0x5e96,eax,0x5e8f,cmp/ja,6,7,24028,0x5ddc,0x5df8,4
30497,0x7721,edx,0x7714,cmp/ja,8,9,30056,0x7568,0x758c,8
32410,0x7e9a,eax,0x7e8d,cmp/ja,4,5,32071,0x7d47,0x7d5b,5
34258,0x85d2,eax,0x85c5,cmp/ja,3,4,34221,0x85ad,0x85bd,4
34534,0x86e6,eax,0x86d9,cmp/ja,8,9,34479,0x86af,0x86d3,9
40094,0x9c9e,eax,0x9c91,cmp/ja,3,4,39784,0x9b68,0x9b78,4
46234,0xb49a,ecx,0xb48d,cmp/ja,8,9,46179,0xb463,0xb487,9
46537,0xb5c9,eax,0xb5c0,cmp/ja,8,9,46484,0xb594,0xb5b8,1
47043,0xb7c3,ecx,0xb7ba,cmp/ja,3,4,46868,0xb714,0xb724,4
67378,0x10732,eax,0x10725,cmp/ja,35,36,67090,0x10612,0x106a2,29
72625,0x11bb1,eax,0x11baa,cmp/ja,5,6,72441,0x11af9,0x11b11,6
77766,0x12fc6,edx,0x12fbe,cmp/ja,4,5,77640,0x12f48,0x12f5c,5
78656,0x13340,eax,0x13333,cmp/ja,4,5,78616,0x13318,0x1332c,5
83170,0x144e2,ebx,0x144da,cmp/ja,5,6,83063,0x14477,0x1448f,5
84723,0x14af3,eax,0x14ae8,cmp/ja,10,11,84638,0x14a9e,0x14aca,11
107946,0x1a5aa,edx,0x1a59e,cmp/ja,5,6,107821,0x1a52d,0x1a545,6
111003,0x1b19b,eax,0x1b192,cmp/ja,9,10,110953,0x1b169,0x1b191,10
124379,0x1e5db,eax,0x1e5d2,cmp/ja,3,4,123581,0x1e2bd,0x1e2cd,4
141235,0x227b3,eax,0x227a6,cmp/ja,15,16,141045,0x226f5,0x22735,4
143917,0x2322d,eax,0x23222,cmp/ja,4,5,143749,0x23185,0x23199,5
146708,0x23d14,eax,0x23d07,cmp/ja,4,5,146662,0x23ce6,0x23cfa,5
