site_hex,case_index,target_offset,target_hex
0x218b,0,8595,0x2193
0x218b,1,8610,0x21a2
0x218b,2,8636,0x21bc
0x218b,3,8651,0x21cb
0x5c02,0,23562,0x5c0a
0x5c02,1,23593,0x5c29
0x5c02,2,23653,0x5c65
0x5c02,3,23720,0x5ca8
0x5c02,4,23767,0x5cd7
0x5c02,5,23827,0x5d13
0x5c02,6,23842,0x5d22
0x5dbc,0,24004,0x5dc4
0x5dbc,1,24012,0x5dcc
0x5dbc,2,24027,0x5ddb
0x5dbc,3,24027,0x5ddb
0x5dbc,4,24020,0x5dd4
0x5dbc,5,24020,0x5dd4
0x5dbc,6,24020,0x5dd4
0x5e96,0,24222,0x5e9e
0x5e96,1,24232,0x5ea8
0x5e96,2,24249,0x5eb9
0x5e96,3,24249,0x5eb9
0x5e96,4,24242,0x5eb2
0x5e96,5,24242,0x5eb2
0x5e96,6,24242,0x5eb2
0x7721,0,30505,0x7729
0x7721,1,30517,0x7735
0x7721,2,30551,0x7757
0x7721,3,30585,0x7779
0x7721,4,30619,0x779b
0x7721,5,30653,0x77bd
0x7721,6,30687,0x77df
0x7721,7,30724,0x7804
0x7721,8,30505,0x7729
0x7e9a,0,32418,0x7ea2
0x7e9a,1,32575,0x7f3f
0x7e9a,2,32670,0x7f9e
0x7e9a,3,32768,0x8000
0x7e9a,4,32868,0x8064
0x85d2,0,34429,0x867d
0x85d2,1,34266,0x85da
0x85d2,2,34329,0x8619
0x85d2,3,34379,0x864b
0x86e6,0,34542,0x86ee
0x86e6,1,34591,0x871f
0x86e6,2,34608,0x8730
0x86e6,3,34625,0x8741
0x86e6,4,34676,0x8774
0x86e6,5,34713,0x8799
0x86e6,6,34730,0x87aa
0x86e6,7,34779,0x87db
0x86e6,8,34828,0x880c
0x9c9e,0,40148,0x9cd4
0x9c9e,1,40194,0x9d02
0x9c9e,2,40102,0x9ca6
0x9c9e,3,40246,0x9d36
0xb49a,0,46242,0xb4a2
0xb49a,1,46273,0xb4c1
0xb49a,2,46304,0xb4e0
0xb49a,3,46335,0xb4ff
0xb49a,4,46356,0xb514
0xb49a,5,46481,0xb591
0xb49a,6,46363,0xb51b
0xb49a,7,46390,0xb536
0xb49a,8,46428,0xb55c
0xb5c9,0,46545,0xb5d1
0xb5c9,1,46545,0xb5d1
0xb5c9,2,46545,0xb5d1
0xb5c9,3,46545,0xb5d1
0xb5c9,4,46545,0xb5d1
0xb5c9,5,46545,0xb5d1
0xb5c9,6,46545,0xb5d1
0xb5c9,7,46545,0xb5d1
0xb5c9,8,46545,0xb5d1
0xb7c3,0,47087,0xb7ef
0xb7c3,1,47051,0xb7cb
0xb7c3,2,47063,0xb7d7
0xb7c3,3,47075,0xb7e3
0x10732,0,67386,0x1073a
0x10732,1,67500,0x107ac
0x10732,2,67656,0x10848
0x10732,3,67869,0x1091d
0x10732,4,68030,0x109be
0x10732,5,68081,0x109f1
0x10732,6,68124,0x10a1c
0x10732,7,68172,0x10a4c
0x10732,8,68311,0x10ad7
0x10732,9,68454,0x10b66
0x10732,10,68529,0x10bb1
