name,segment,offset,kind,module_index,file_offset
___begtext,1,3,4,133,611927
_main_palette_player_colors,1,16,4,0,611940
main_,1,24,4,0,611948
main2_,1,87,4,1,612011
Screen_Control_,1,1179,4,1,613103
_TOGGLE_PAGES_,1,1917,4,1,613841
Set_Refresh_,1,1927,4,1,613851
Get_Auto_Function_,1,1967,4,1,613891
Put_Auto_Function_,1,1978,4,1,613902
Execute_Auto_Function_,1,1986,4,1,613910
Set_Game_Random_Seed_,1,1994,4,1,613918
Check_Command_Line_Parameters_,1,2022,4,1,613946
Get_Value_From_String_,1,2574,5,1,614498
Set_Mox_Alt_Path_,1,2674,4,1,614598
Set_Mox_Language_,1,3119,4,1,615043
Load_Mox_Global_Strings_,1,3238,4,1,615162
Allocate_Data_Space_,1,3253,4,2,615177
Load_Game_,1,3631,4,3,615555
Save_Game_,1,5643,4,3,617567
Save_Game_Settings_,1,7140,4,3,619064
Load_Game_Settings_,1,7225,4,3,619149
Get_Saved_Game_Descriptions_,1,7299,4,3,619223
Check_Magic_Number_,1,7684,4,3,619608
Get_Star_Date_From_Save_File_,1,7766,4,3,619690
Magic_Number_Ok_,1,7845,4,3,619769
Read_Settings_From_Save_File_,1,7854,4,3,619778
Save_Moo_Custom_Player_Data_,1,7952,4,3,619876
Save_Out_Settings_To_Temp_File_,1,7953,4,3,619877
Get_Game_Type_From_Saved_Game_,1,8140,4,3,620064
Read_Moo_Custom_Player_Data_,1,8237,4,3,620161
Save_Session_Related_Settings_,1,8240,4,3,620164
Copy_Over_Game_Universe_Settings_,1,8442,5,3,620366
Make_Autosave_File_Name_,1,8565,4,3,620489
Get_Multi_Player_N_Humans_,1,8688,5,3,620612
Update_Game_Settings_Version_Number_,1,8743,4,3,620667
Init_Ships_Array_,1,8808,5,4,620732
Make_System_Monsters_Into_Ships_,1,8908,5,4,620832
Set_Initial_Colony_Auto_Selects_,1,9166,5,4,621090
Init_Colonies_Array_,1,9242,5,4,621166
Init_New_Game_,1,9337,4,4,621261
Init_New_Session_,1,10138,4,4,622062
Set_Defaults_,1,10143,4,4,622067
Set_Default_Game_Settings_,1,10209,4,4,622133
Write_Game_Settings_,1,10551,4,4,622475
Init_Players_,1,10627,4,4,622551
Init_Colony_,1,11637,4,4,623561
Test_Create_Ship_,1,11784,4,4,623708
Init_Officers_,1,12414,4,4,624338
Init_Leaders_,1,12415,4,4,624339
Load_Pictures_,1,12660,4,5,624584
Load_Main_Screen_Pictures_,1,12738,5,5,624662
Load_Player_Special_Names_,1,13906,4,5,625830
Next_Turn_Calc_,1,14003,4,6,625927
Do_Autosave_,1,14370,4,6,626294
Next_Turn_,1,14448,4,6,626372
Get_Winner_,1,14824,5,6,626748
Init_Homeworld_Colony2_,1,14909,4,7,626833
Init_Homeworld_Colony_,1,16295,4,7,628219
Init_Advanced_Civilization_Fleet_,1,16311,4,7,628235
Init_Non_Homeworld_Colony_,1,16312,4,7,628236
Add_Building_,1,16345,4,7,628269
Remove_Building_,1,17898,4,7,629822
Mox_Play_Sound_,1,18391,4,7,630315
Calc_Ship_Level_,1,18407,4,7,630331
Do_Academy_At_Location_Check_,1,18554,4,7,630478
Best_Instructor_Bonus_,1,18709,4,7,630633
Do_XP_For_Ship_,1,18901,4,7,630825
Do_All_Ships_XP_Check_,1,18983,4,7,630907
_rifles,1,19080,4,8,631004
_personal_shields,1,19098,4,8,631022
_planetary_shields,1,19104,4,8,631028
Main_Antaran_Room_Screen_,1,19116,4,9,631040
Draw_Main_Antaran_Room_Screen_,1,19453,4,9,631377
Reload_Main_Antaran_Room_Screen_,1,19587,4,9,631511
Get_Antaran_Room_Message_,1,19836,4,9,631760
Check_Show_Main_Antaran_Room_Screen_,1,19937,4,9,631861
Play_Cinematic_,1,19959,4,10,631883
Smack_Fade_,1,20613,4,10,632537
Draw_Smack_Screen_,1,20709,4,10,632633
Race_Customization_,1,20731,4,11,632655
Main_Council_Screen_,1,21049,4,12,632973
Control_Main_Council_Screen_,1,21408,4,12,633332
Draw_Main_Council_Screen_,1,21537,4,12,633461
Reload_Main_Council_Screen_,1,22228,4,12,634152
Calc_Council_Vote_,1,23440,4,12,635364
Get_Council_Message_,1,23529,4,12,635453
Next_Council_State_,1,23984,4,12,635908
Council_Finished_Voting_,1,24056,4,12,635980
Council_Votes_,1,24252,4,12,636176
Vote_Check_,1,24609,4,12,636533
Council_Vote_Result_,1,25060,4,12,636984
Council_Player_Vote_,1,25404,4,12,637328
Council_Accept_Ruling_,1,26123,4,12,638047
Check_For_Council_Meeting_,1,26799,4,12,638723
Load_Council_Text_Messages_,1,26970,4,12,638894
Council_Player_Voted_Winner_,1,27081,4,12,639005
Drive_Council_Player_Voted_Winner_,1,27199,4,12,639123
Draw_Council_Player_Voted_Winner_,1,27346,4,12,639270
Get_Player_Voted_Winner_Message_,1,27644,4,12,639568
Diplomacy_Screen_,1,27726,4,14,639650
Draw_Diplomacy_Screen_,1,28416,4,14,640340
Draw_Diplomacy_Synch_Mode_,1,28416,4,14,640340
Get_Main_Repulsive_Diplomacy_Choices_,1,29223,4,14,641147
Get_Main_Diplomacy_Choices_,1,30092,4,14,642016
Diplomacy_Set_Main_Options_,1,30791,4,14,642715
Diplomacy_Declare_War_Resolution_,1,31220,4,14,643144
Setup_Back_Page_,1,31569,4,14,643493
Setup_Ambassador_Pic_,1,31666,4,14,643590
Diplomacy_Fade_In_,1,31751,4,14,643675
Draw_Diplomacy_Fade_In_Screen_,1,32029,4,14,643953
Diplomacy_Propose_Treaty_,1,32091,4,14,644015
Diplomacy_Break_Treaty_,1,32980,4,14,644904
Diplomacy_Break_Treaty_Resolution_,1,33545,4,14,645469
Get_Human_Surrender_Message_,1,34144,4,14,646068
Get_Human_Declare_War_Message_,1,34198,4,14,646122
Get_Human_Offer_Gift_Message_,1,34237,4,14,646161
Get_Human_Demand_Message_,1,34515,4,14,646439
Get_Human_Break_Treaty_Message_,1,34874,4,14,646798
Get_Human_Form_Treaty_Message_,1,35040,4,14,646964
Get_Human_Propose_Treaty_Message_,1,35308,4,14,647232
Get_Human_Tech_Exchange_Message_,1,35479,4,14,647403
Get_Human_Tech_Exchange_First_Message_,1,35554,4,14,647478
Get_Human_Tech_Exchange_Accept_Message_,1,35623,4,14,647547
Get_Human_Tech_Exchange_Decline_Message_,1,35646,4,14,647570
Diplomacy_Demand_,1,35705,4,14,647629
Diplomacy_Offer_Gift_,1,38085,4,14,650009
Diplomacy_Display_Response_,1,39193,4,14,651117
Diplomacy_Determine_Treaty_Proposal_,1,39319,4,14,651243
Diplomacy_Need_Better_Offer_,1,39800,4,14,651724
Get_Diplomacy_Tech_List_,1,40287,4,14,652211
Diplomacy_Generic_List_,1,40424,4,14,652348
Diplomacy_Generic_Exchange_Tech_List_,1,40742,4,14,652666
Diplomacy_Generic_System_List_,1,41469,4,14,653393
Draw_Diplomacy_Generic_System_List_,1,42029,4,14,653953
Get_Diplomacy_Demand_Treaty_List_,1,42061,4,14,653985
Npc_Display_Diplomacy_Messages_,1,42247,4,14,654171
Accepted_Npc_Demand_Resolution_,1,43966,4,14,655890
Get_Non_Player_Proposals_,1,44050,4,14,655974
Npc_Give_Gift_,1,44725,4,14,656649
Show_Sneak_Attack_Message_,1,44960,4,14,656884
Npc_Diplomacy_Screen_,1,44966,4,14,656890
