name,offset,offset_hex,evidence,call_references,total_references,watcom_symbol
anon_call_00075C8A,482442,0x75C8A,direct_call_target,3,3,no
anon_call_000A20ED,663789,0xA20ED,direct_call_target,1,1,no
anon_call_000A2542,664898,0xA2542,direct_call_target,1,1,no
anon_call_000A3E75,671349,0xA3E75,direct_call_target,21,21,no
anon_call_000A3E7A,671354,0xA3E7A,direct_call_target,2,2,no
anon_call_000A4B51,674641,0xA4B51,direct_call_target,1,1,no
anon_call_000A896D,690541,0xA896D,direct_call_target,2,2,no
anon_call_000A8D4A,691530,0xA8D4A,direct_call_target,9,9,no
anon_call_000A8DBE,691646,0xA8DBE,direct_call_target,2,2,no
anon_call_000A8E43,691779,0xA8E43,direct_call_target,2,2,no
anon_call_000A937B,693115,0xA937B,direct_call_target,2,2,no
anon_call_000AB0C4,700612,0xAB0C4,direct_call_target,2,2,no
anon_call_000ACBA0,707488,0xACBA0,direct_call_target,1,1,no
anon_call_000ACBE6,707558,0xACBE6,direct_call_target,1,1,no
anon_call_000AF456,717910,0xAF456,direct_call_target,3,3,no
anon_call_000B02F9,721657,0xB02F9,direct_call_target,1,1,no
anon_call_000B0FBD,724925,0xB0FBD,direct_call_target,2,2,no
anon_call_000B10EA,725226,0xB10EA,direct_call_target,1,1,no
anon_call_000B1576,726390,0xB1576,direct_call_target,1,1,no
anon_call_000B24B1,730289,0xB24B1,direct_call_target,1,1,no
anon_call_000B2539,730425,0xB2539,direct_call_target,1,1,no
anon_call_000B28A8,731304,0xB28A8,direct_call_target,2,2,no
anon_call_000B2E4D,732749,0xB2E4D,direct_call_target,1,1,no
anon_call_000B3111,733457,0xB3111,direct_call_target,1,1,no
anon_call_000B534E,742222,0xB534E,direct_call_target,2,2,no
anon_call_000BCE2E,773678,0xBCE2E,direct_call_target,2,2,no
anon_call_00129A88,1219208,0x129A88,direct_call_target,2,2,no
anon_call_00129AAB,1219243,0x129AAB,direct_call_target,1,1,no
anon_runtime_0012F1D8,1241560,0x12F1D8,runtime_init_table_target,0,1,no
anon_call_00148990,1345936,0x148990,direct_call_target,1,1,no
anon_call_0014C1DC,1360348,0x14C1DC,direct_call_target,1,1,no
anon_call_0014C24E,1360462,0x14C24E,direct_call_target,1,1,no
anon_call_00153D80,1392000,0x153D80,direct_call_target,1,1,no
anon_call_00153E0D,1392141,0x153E0D,direct_call_target,1,1,no
anon_call_00153E5F,1392223,0x153E5F,direct_call_target,3,3,no
anon_call_00153E85,1392261,0x153E85,direct_call_target,1,1,no
anon_call_00153EAA,1392298,0x153EAA,direct_call_target,2,2,no
anon_call_001542A0,1393312,0x1542A0,direct_call_target,1,2,no
anon_call_00154590,1394064,0x154590,direct_call_target,1,2,no
anon_call_00154600,1394176,0x154600,direct_call_target,4,4,no
anon_call_001549E0,1395168,0x1549E0,direct_call_target,4,5,no
anon_call_00154A10,1395216,0x154A10,direct_call_target,4,4,no
